着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,15,サンライズアムール,牡6,58.5,幸,1:10.9,,4,7.6,36.0,栗東小林,526(0)
2,1,2,テイエムトッキュウ,牡7,58.5,川須,1:11.0,3/4,12,44.1,36.7,栗東秋山,504(+2)
3,7,14,クロジシジョー,牡6,58.5,菱田,1:11.3,1.1/2,3,6.0,35.9,栗東岡田,452
4,5,10,キタノズエッジ,牡4,55.0,古川吉,1:11.4,1/2,1,5.1,35.7,栗東畑端,542(+8)
5,8,16,マニバドラ,牡5,57.5,団野,1:11.4,クビ,2,5.4,36.3,栗東森秀,520(-2)
6,6,11,エスカル,牡4,55.0,松若,1:11.5,クビ,11,38.4,36.7,栗東森秀,500(+2)
7,5,9,ペプチドヤマト,牡6,56.0,藤岡佑,1:11.5,ハナ,9,23.1,36.3,栗東武英,486(-14)
8,6,12,アームズレイン,牡5,58.0,岩田望,1:11.5,クビ,6,9.2,35.9,栗東上村,504(+2)
9,1,1,スターターン,牡4,56.0,酒井,1:11.6,クビ,5,8.1,36.1,栗東坂口,490(-2)
10,2,4,ジレトール,牡6,58.5,北村友,1:12.3,4,8,12.1,37.4,栗東松永幹,490(0)
11,3,6,エティエンヌ,セ6,56.0,高杉,1:12.3,ハナ,10,33.7,36.0,栗東吉田,514(0)
12,4,7,メイショウミツヤス,牡7,55.0,和田竜,1:12.3,アタマ,15,157.9,37.3,栗東飯田,512(0)
13,2,3,ヒビキ,牡5,55.0,西塚,1:12.4,クビ,14,58.4,36.4,栗東辻野,496(-2)
14,7,13,アッティーヴォ,牡11,53.0,田口,1:12.4,クビ,16,205.0,36.3,栗東大根田,476(+10)
15,3,5,ファーンヒル,牡6,56.0,鮫島駿,1:12.7,1.3/4,7,10.9,38.1,栗東清水久,484(-2)
16,4,8,ジョーローリット,牝4,53.0,柴田裕,1:16.5,大,13,46.5,37.0,栗東中竹,490(+14)
