着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,5,ドゥアムール,牝3,53.0,丹内,1:07.5,,1,1.7,34.3,栗東中竹,480(+6)
2,2,2,ゴキゲンサン,牝5,56.0,岩田康,1:07.8,1.3/4,5,14.8,33.5,美浦伊藤大,504(+4)
3,3,3,ハートホイップ,牝6,56.0,黛,1:07.8,クビ,12,74.1,34.3,美浦蛯名利,488(-6)
4,5,8,ニジュウダンサー,牝5,56.0,浜中,1:07.9,1,2,7.4,33.9,美浦尾関,468(-2)
5,8,14,タイキヴァンクール,牡4,58.0,古川吉,1:08.1,1.1/4,3,7.4,34.0,栗東中尾,524(+6)
6,8,13,トウカイエルデ,牡4,58.0,斎藤,1:08.1,クビ,7,17.8,34.5,栗東茶木,456(+4)
7,6,10,パレフォーコン,牡6,58.0,酒井,1:08.1,ハナ,13,156.1,34.4,栗東前川,458(+14)
8,1,1,スーパーマン,牡5,58.0,長浜,1:08.2,クビ,10,38.2,33.9,美浦岩戸,492(0)
9,7,11,ビッグドリーム,牡4,58.0,小沢,1:08.3,1/2,9,29.6,34.9,栗東西園正,532(+4)
10,4,6,ディージェーサン,牝6,56.0,松岡,1:08.4,1/2,14,188.2,33.6,美浦堀内,438(-10)
11,3,4,スイミーユニバンス,牝5,56.0,松若,1:08.5,1,8,18.6,33.6,栗東平田,440(+16)
12,6,9,アイノセンシ,牡5,58.0,佐々木,1:08.7,1.1/4,4,13.7,35.4,美浦牧,512(+4)
13,5,7,アムールリーベ,牝4,56.0,荻野琢,1:08.9,3/4,6,15.9,34.3,栗東宮地,504(0)
14,7,12,フミサウンド,牡5,58.0,吉田隼,1:09.5,3.1/2,11,54.1,35.2,美浦鹿戸,448(+2)
