着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,カフェグランデ,牡4,58.0,横山典,2:27.1,,2,3.8,36.2,美浦嘉藤,470(+2)
2,2,2,ヴォランテ,牡5,58.0,菅原明,2:27.3,1.1/2,4,9.4,36.5,栗東羽月,466(0)
3,4,7,エンドロール,牡6,58.0,原,2:27.3,クビ,9,40.0,37.3,美浦青木,468(+4)
4,6,11,メイテソーロ,牡5,58.0,横山琉,2:27.7,2.1/2,10,42.7,36.7,美浦武市,504(+6)
5,8,15,シンハナーダ,牡4,58.0,三浦,2:27.8,1/2,3,6.3,36.6,美浦国枝,454(0)
6,8,14,シリアルノヴェル,セ5,58.0,木幡巧,2:28.0,1.1/4,13,72.7,37.6,美浦伊藤圭,484(-2)
7,3,5,タイセイフェリーク,牝5,56.0,大野,2:28.2,1,5,12.1,36.7,栗東田中克,424(-6)
8,5,9,アドマイヤサジー,牝5,56.0,団野,2:28.4,1.1/2,8,14.1,38.2,美浦宮田,444(0)
9,7,12,アームブランシュ,牡5,58.0,吉田豊,2:28.7,2,15,129.6,37.1,美浦竹内,460(-4)
10,5,8,リミットバスター,牡5,58.0,荻野極,2:28.9,3/4,12,48.3,38.5,栗東杉山晴,520(-4)
11,6,10,ルドヴィクス,牡7,58.0,石橋脩,2:29.5,4,14,84.6,39.5,美浦久保田,514(0)
12,2,3,ミスタージーティー,牡4,58.0,津村,2:30.2,4,1,3.3,39.4,栗東矢作,466(-4)
13,4,6,ギャンブルルーム,牡4,58.0,Mデム,2:33.9,大,7,13.4,43.1,栗東大久保,490(-14)
14,7,13,ウィープディライト,セ4,58.0,石川,2:34.9,6,6,12.2,43.3,栗東池添,508(+12)
15,3,4,ショーマンフリート,牡4,58.0,丸山,2:34.9,クビ,11,45.1,44.7,美浦手塚久,510(+12)
