着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,ロートホルン,牝3,53.0,横山武,1:46.6,,1,1.8,34.9,美浦加藤征,472(+12)
2,5,8,ウインシャーガス,牝3,53.0,丹内,1:46.7,1,3,7.6,34.4,栗東杉山晴,470(0)
3,2,2,パルティキュリエ,牝5,56.0,武豊,1:46.8,1/2,2,6.0,34.9,美浦小手川,476(+10)
4,3,3,ハーエクセレンシー,牝5,56.0,藤岡佑,1:46.9,1/2,6,19.9,34.4,美浦大和田,440(-2)
5,4,6,ソニックドライブ,牝4,53.0,▲和田陽,1:47.2,1.3/4,5,18.7,34.5,栗東田中克,452(+12)
6,5,7,エイシンジェンマ,牝5,56.0,川又,1:47.2,アタマ,4,8.3,33.8,栗東中尾,504(+4)
7,4,5,エイトスターズ,牝5,56.0,吉田隼,1:47.2,クビ,10,41.1,34.2,栗東坂口,478(+2)
8,3,4,イリスレーン,牝5,53.0,▲古川奈,1:47.2,ハナ,8,23.3,36.4,栗東清水久,484(-2)
9,8,13,フラッシングレート,牝5,56.0,鮫島駿,1:47.3,クビ,9,26.6,34.8,栗東加藤公,498(+20)
10,7,12,ダークブロンド,牝5,56.0,斎藤,1:47.6,1.3/4,11,62.4,34.8,栗東高橋亮,436(+2)
11,6,9,エリム,牝5,56.0,原田和,1:47.8,1.1/4,13,201.8,35.1,美浦上原博,456(+6)
12,6,10,ピリカサンライズ,牝3,53.0,佐々木,1:47.9,1,7,20.4,34.6,栗東牧浦,446(+8)
13,7,11,シャーリーゴールド,牝4,56.0,池添,1:48.2,1.1/2,12,84.2,35.0,栗東佐藤悠,476(+16)
14,8,14,ネクストヒロイン,牝4,56.0,松岡,1:49.0,5,14,330.8,35.1,美浦戸田,420(+10)
