馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ポリトナリティー,牝4,難波,美浦・和田雄,差し,17.0,5,2,障害3歳以上未勝利,13.7,420(-2),小倉,15,中1週,Y,,3,エイシンヒカリ,バチアー,,
2,2,グローリーアテイン,セ4,金子,美浦・金成,追込,41.0,10,10,障害4歳以上未勝利,14.7,484(-8),東京,43,中5週,Y,,3,ヴィクトワールピサ,マンハッタンカフェ,,
3,3,ケイアイシェルビー,牡7,黒岩,栗東・平田,差し,32.1,8,11,,36.5,472(-10),阪神,120,中16週,Y,,3,ディープインパクト,Smarty Jones,,
4,4,フォルガイル,牡4,五十嵐,美浦・加藤和,差し,13.1,4,3,障害3歳以上未勝利,13.4,438(+6),小倉,14,中1週,Y,,3,レイデオロ,ハーツクライ,,
5,5,リードアクトレス,牝4,草野,栗東・安達,追込,35.6,9,5,障害4歳以上未勝利,14.0,482(-6),京都,77,中10週,Y,,3,マジェスティックウォリアー,シンボリクリスエス,,
6,5,ミラキュラスドラマ,牡4,小野寺,栗東・宮地,差し,18.2,6,9,,35.7,456(-6),福島,78,中10週,Y,,3,エピファネイア,フジキセキ,,
7,6,ラズルダズル,牡8,小牧加,栗東・茶木,差し,11.6,3,6,障害4歳以上未勝利,13.5,470(+6),小倉,161,中22週,Y,,3,ルーラーシップ,アグネスタキオン,,
8,6,ゴイゴイスー,牡7,田村,栗東・中尾,差し,43.2,11,11,,36.6,514(+2),中京,120,中16週,Y,,3,ホッコータルマエ,ファスリエフ,,
9,7,シルバースペード,牡5,上野,美浦・小野,先行,21.8,7,8,4歳以上1勝クラス,35.2,480(-4),東京,148,中20週,Y,,3,シルバーステート,キングカメハメハ,,
10,7,カシノインディード,牡5,水沼,美浦・天間,差し,95.0,12,8,障害4歳以上未勝利,13.8,480(+10),新潟,56,中7週,Y,,3,リアルインパクト,ジャングルポケット,,
11,8,ゲインサポート,セ4,森一,栗東・斉藤崇,先行,6.3,2,7,障害4歳以上未勝利,14.2,444(0),東京,43,中5週,Y,,3,デクラレーションオブウォー,アグネスタキオン,,B
12,8,ダノンジャッカル,牡6,西谷誠,栗東・中内田,,1.5,1,2,障害4歳以上未勝利,13.3,466(-4),小倉,169,中23週,Y,,3,ディープインパクト,Intikhab,,B
