馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アドマイヤサジー B,牝5,鮫島駿,美浦・宮田,差し,17.6,7,8,,38.2,440(-4),東京,42,中5週,Y,,3,ハービンジャー,キングカメハメハ,
2,2,マイネルカンパーナ,牡5,丹内,美浦・青木,差し,6.3,5,8,,35.3,408(-10),東京,56,中7週,Y,,3,ゴールドシップ,Linamix,
3,3,スティンガーグラス,牡4,北村友,美浦・木村,差し,3.4,1,11,,35.2,482(0),東京,56,中7週,Y,,3,キズナ,Not For Sale,
4,4,ヴェルミセル,牝5,横山武,栗東・吉村,差し,4.0,2,6,,34.5,464(+2),東京,56,中7週,Y,,3,ゴールドシップ,コンデュイット,
5,5,シュバルツクーゲル,牡4,浜中,美浦・鹿戸,差し,5.9,3,9,,34.6,496(+2),東京,43,中5週,Y,,3,キズナ,Monsun,
6,6,フルール,牝5,佐々木,美浦・上原佑,先行,14.8,6,6,,37.2,494(+2),東京,71,中9週,Y,,3,キズナ,Malibu Moon,
7,7,パトリックハンサム,牡6,松岡,美浦・柄崎,差し,94.0,10,8,,34.8,470(-4),函館,15,中1週,Y,,3,バゴ,ディープインパクト,
8,7,エゾダイモン,牡5,吉田隼,栗東・武幸,差し,20.2,9,4,,34.7,482(0),函館,15,中1週,Y,,3,ハーツクライ,スウェプトオーヴァーボード,
9,8,マキシ,牡5,藤岡佑,栗東・杉山佳,先行,20.0,8,16,,36.2,506(0),東京,56,中7週,Y,,3,エピファネイア,ディープインパクト,
10,8,ミステリーウェイ,セ7,池添,栗東・小林,,6.2,4,1,,35.9,502(-2),阪神,119,中16週,Y,,3,ジャスタウェイ,High Chaparral,
