着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,11,スマートケープ,牝5,56.0,菱田,1:44.6,,3,5.6,36.6,栗東辻野,512(+10)
2,3,4,オールマキシマム,牝5,56.0,小林脩,1:45.8,7,4,7.2,37.0,美浦奥平,450(-6)
3,1,1,ベルギューン,牝3,53.0,キング,1:45.8,ハナ,2,4.5,37.9,栗東牧浦,482(-4)
4,6,10,サツキノジョウ,牝4,56.0,丹内,1:45.9,1/2,10,38.5,37.4,美浦武井,446(-10)
5,7,12,ヤマニンバロネス,牝3,53.0,武豊,1:45.9,アタマ,1,2.9,37.5,栗東千田,472(+18)
6,4,5,メイショウリリー,牝4,56.0,藤懸,1:46.0,1,8,23.9,36.6,栗東高橋忠,446(+6)
7,5,7,カプラローラ,牝6,56.0,藤岡佑,1:46.0,ハナ,6,10.9,36.9,美浦菊沢,484(+2)
8,2,2,グレイスオブゴッド,牝5,56.0,古川吉,1:46.4,2,13,128.5,37.5,栗東緒方,486(+8)
9,8,14,クォーツァイト,牝4,56.0,斎藤,1:46.6,1.1/2,9,34.6,38.5,美浦斎藤誠,466(-2)
10,4,6,リアルクィーン,牝3,53.0,佐々木,1:46.6,アタマ,7,19.8,38.3,栗東石坂,456(0)
11,6,9,メイショウタムシバ,牝4,56.0,池添,1:46.7,クビ,5,9.2,38.5,栗東飯田,422(-8)
12,5,8,マフィン,牝4,56.0,横山琉,1:47.0,1.1/2,12,124.8,38.3,美浦大和田,434(+24)
13,3,3,アンブロジアーナ,牝6,56.0,原田和,1:47.9,5,14,271.7,39.2,美浦上原博,424(+2)
14,8,13,ミレニアムヒロイン,牝4,56.0,松本,1:48.6,4,11,76.6,39.7,美浦池上,444(+6)
