馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ヒシアマン,牡3,キング,美浦・堀,差し,1.6,1,4,,34.1,464(+2),東京,280,中39週,Y,Y,3,モーリス,マンハッタンカフェ,
2,2,サトノシャムロック,牡3,佐々木,美浦・田中博,差し,29.7,5,6,3歳以上1勝クラス,38.4,496(-2),函館,27,中3週,Y,,3,ニューイヤーズデイ,Tiz Wonderful,
3,3,アッシュバーグ,牝4,斎藤,美浦・斎藤誠,差し,96.4,10,6,3歳以上1勝クラス,34.8,526(+6),函館,48,中6週,Y,,3,サトノダイヤモンド,Elusive Quality,
4,4,マリブオレンジ,牝3,横山武,栗東・福永,先行,12.0,4,13,3歳以上1勝クラス,40.4,452(-6),函館,42,中5週,Y,,3,Vekoma,Malibu Moon,
5,5,セイウンビッグバン,牡3,丹内,美浦・萱野,,102.6,11,7,3歳以上1勝クラス,36.1,442(-2),札幌,13,中1週,Y,,3,アドマイヤマーズ,Acclamation,
6,6,クイーンズデイ,牝3,池添,栗東・岡田,先行,39.9,8,11,3歳以上1勝クラス,35.2,444(0),函館,21,中2週,Y,,3,ラブリーデイ,キングヘイロー,
7,6,サンウリエル,牡4,浜中,栗東・宮本,差し,37.0,7,6,,34.6,470(-8),函館,21,中2週,Y,,3,ディーマジェスティ,アドマイヤムーン,
8,7,ジャグアール,牡4,鮫島駿,美浦・矢野,差し,66.3,9,3,3歳以上1勝クラス,34.5,456(+4),札幌,14,中1週,Y,,3,ハービンジャー,ディープインパクト,
9,7,エフォートレス,牡4,藤岡佑,美浦・嘉藤,差し,3.3,2,2,3歳以上1勝クラス,34.8,486(-2),札幌,13,中1週,Y,,3,エピファネイア,ダイワメジャー,
10,8,レッドレナート B,牡4,,美浦・手塚久,先行,31.5,6,,,0.0,490(-2),札幌,13,中1週,Y,,3,レッドファルクス,ダイワメジャー,
11,8,デアリングエア,牝3,松山,栗東・杉山晴,差し,8.6,3,9,3歳以上1勝クラス,35.8,458(+8),阪神,62,中8週,Y,,3,エピファネイア,キングカメハメハ,
