馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,サウザンサニー,牡5,,美浦・岩戸,差し,43.3,12,8,,34.0,524(+4),中山,119,中16週,Y,,3,タリスマニック,ワークフォース,
2,1,ダノンタッチダウン,セ5,キング,美浦・堀,,7.2,4,9,,37.2,542(-16),東京,56,中7週,Y,,3,ロードカナロア,Dansili,
3,2,スリーアイランド,牝5,荻野琢,栗東・中竹,先行,16.0,8,8,,35.5,496(+6),小倉,35,中4週,Y,,3,Zoustar,Pivotal,
4,2,ジャスティンアース,牡4,横山和,栗東・杉山晴,差し,7.0,3,3,,37.2,478(-8),函館,35,中4週,Y,,3,キズナ,Bodemeister,
5,3,バースクライ,牝5,横山武,栗東・千田,差し,3.2,1,6,,35.4,504(+2),福島,29,中3週,Y,,3,ハーツクライ,Dubawi,
6,3,マイネルジェロディ,牡7,丹内,栗東・西園正,差し,43.8,13,9,,34.7,482(0),阪神,147,中20週,Y,,3,スクリーンヒーロー,ロージズインメイ,
7,4,ツインクルトーズ B,牝5,古川吉,美浦・牧,差し,24.4,10,8,,34.7,514(0),函館,43,中5週,Y,,3,マインドユアビスケッツ,サクラバクシンオー,
8,4,ナムラアトム B,牡4,菱田,栗東・長谷川,差し,11.6,6,9,,35.3,496(-8),函館,43,中5週,Y,,3,リアルインパクト,Storm Cat,
9,5,ゾンニッヒ,牡7,池添,栗東・池江,差し,15.9,7,4,,33.8,474(-8),函館,43,中5週,Y,,3,ラブリーデイ,ディープインパクト,
10,5,レッドヒルシューズ B,牝5,藤岡佑,栗東・武英,差し,30.4,11,10,,35.1,452(-8),小倉,35,中4週,Y,,3,ハーツクライ,アグネスデジタル,
11,6,フィオライア,牝4,鮫島駿,栗東・西園正,先行,6.7,2,14,,34.7,466(-6),函館,57,中7週,Y,,3,ファインニードル,サクラバクシンオー,
12,6,ジョーメッドヴィン,牡4,松岡,栗東・清水久,先行,10.2,5,10,,34.0,512(-10),函館,43,中5週,Y,,3,ドレフォン,キングヘイロー,
13,7,プルパレイ B,セ6,浜中,栗東・須貝,先行,55.1,14,11,,35.4,498(0),函館,43,中5週,Y,,3,イスラボニータ,Fusaichi Pegasus,
14,7,クファシル,牡5,吉田隼,栗東・池添,差し,21.4,9,7,,34.6,496(+4),函館,43,中5週,Y,,3,モーリス,ディープインパクト,
15,8,メイクアスナッチ,牝5,舟山,美浦・武市,差し,77.3,15,6,,33.7,456(0),函館,43,中5週,Y,,3,ルーラーシップ,ディープインパクト,
16,8,ロンドンプラン,牡5,松本,栗東・宮本,差し,79.9,16,8,,33.9,524(+4),京都,85,中11週,Y,,3,グレーターロンドン,アフリート,
