馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,オドワローズ,牝2,吉村,栗東・渡辺,,24.7,5,,,,442(0),,,,,,,レイデオロ,ディープインパクト,,B
2,2,ミッキージャンプ,牡2,田口,栗東・池江,,5.9,3,,,,448(0),,,,,,,サートゥルナーリア,E Dubai,,
3,3,モズガネシア,牡2,松若,栗東・中尾,,27.1,6,,,,480(0),,,,,,,モズアスコット,Bernardini,,
4,4,マイリトルヒーロー,牡2,永島,栗東・高橋康,,3.1,2,,,,458(0),,,,,,,イスラボニータ,Speightstown,,
5,5,ピエナブラック,牡2,団野,栗東・荒川,,28.3,7,,,,480(0),,,,,,,キタサンブラック,パイロ,,
6,6,テーオーアルアイン,牡2,川田,栗東・奥村豊,,6.7,4,,,,484(0),,,,,,,アルアイン,Siyouni,,
7,7,ミヤムーブメント,牝2,田山,栗東・緒方,,189.8,10,,,,402(0),,,,,,,イスラボニータ,キングカメハメハ,,
8,7,ゴッドアイ,牝2,松山,栗東・橋口,,2.1,1,,,0.0,430(0),中京,14,中1週,Y,,1,コントレイル,アドマイヤムーン,,
9,8,フトゥーロスフィダ,牡2,富田,栗東・宮,,78.6,9,,,,484(0),,,,,,,タワーオブロンドン,ジャスタウェイ,,
10,8,アルスマグナ,牡2,高杉,美浦・池上,,33.5,8,,,,452(0),,,,,,,カレンブラックヒル,ルールオブロー,,
