馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ユメハハテシナク,牡5,高杉,栗東・石坂,先行,22.3,8,14,4歳以上2勝クラス,39.0,480(+2),東京,85,中11週,Y,,3,ダイワメジャー,タイキシャトル,
2,1,タッチャブル B,牡5,菱田,栗東・中村,差し,44.9,11,4,,38.9,524(+6),中京,22,中2週,Y,,3,リアルスティール,ルーラーシップ,
3,2,メイショウソウセキ,牡3,永島,栗東・松永幹,先行,30.1,10,12,,41.2,488(-4),中京,14,中1週,Y,,3,マジェスティックウォリアー,スペシャルウィーク,
4,2,キングオブフジ,牡4,中井,栗東・角田,差し,6.4,3,2,,39.2,498(-4),中京,22,中2週,Y,,3,ヘニーヒューズ,キングヘイロー,
5,3,メイショウマントル B,牡7,川須,栗東・安達,追込,52.5,12,5,,38.6,514(0),中京,22,中2週,Y,,3,メイショウボーラー,Fusaichi Pegasus,
6,3,ショウサンキズナ,牡6,酒井,栗東・松下,差し,69.9,13,5,4歳以上2勝クラス,39.1,526(-4),阪神,140,中19週,Y,,3,キズナ,Grand Slam,
7,4,キングブルー,牡4,川田,栗東・四位,先行,4.2,2,5,4歳以上2勝クラス,39.5,496(+8),阪神,155,中21週,Y,,3,ロードカナロア,ジャングルポケット,
8,4,ジョータルマエ B,セ5,鮫島良,栗東・河嶋,逃げ,11.1,5,6,4歳以上2勝クラス,39.8,496(0),京都,190,中26週,Y,Y,3,ホッコータルマエ,クロフネ,
9,5,ラヴオントップ,牝4,亀田,栗東・西村,逃げ,15.6,7,12,,42.0,494(+6),阪神,133,中18週,Y,,3,ヘニーヒューズ,エンパイアメーカー,
10,5,ヴォルスター,牡4,吉村,栗東・清水久,,24.9,9,7,,41.0,434(-4),中京,22,中2週,Y,,3,シニスターミニスター,ロードカナロア,
11,6,チカミリオン B,牝4,角田和,栗東・大久保,先行,14.8,6,3,,38.1,486(-2),中京,29,中3週,Y,,3,キズナ,Medaglia d'Oro,
12,6,ドンアチェカ,牡5,国分恭,栗東・千田,差し,126.9,15,9,,38.5,482(-6),阪神,78,中10週,Y,,3,マジェスティックウォリアー,フジキセキ,
13,7,トーアシオン,セ9,藤懸,美浦・辻,差し,150.7,16,6,4歳以上2勝クラス,36.1,472(+6),阪神,162,中22週,Y,,3,プリサイスエンド,ゴールドアリュール,
14,7,クリノクリスタル,牝5,小沢,栗東・大橋,差し,95.0,14,4,,38.3,478(+6),中京,29,中3週,Y,,3,ブラックタイド,クロフネ,
15,8,パカーラン,牡4,西塚,栗東・藤原,先行,10.8,4,5,,38.5,474(-4),中京,14,中1週,Y,,3,イスラボニータ,City Zip,
16,8,ショーダンサー,牡3,国分優,栗東・大根田,差し,2.8,1,1,3歳以上1勝クラス,37.7,432(-2),中京,22,中2週,Y,,3,シニスターミニスター,シンボリクリスエス,
