着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,10,スズカハービン,牡5,60.0,難波,3:35.3,,4,10.0,13.2,栗東高橋忠,470(+10)
2,8,12,プラチナドリーム,牡6,61.0,石神深,3:35.6,1.3/4,3,6.4,13.3,美浦菊川,486(-2)
3,1,1,ニシノパプルブリリ,牝5,58.0,伴,3:36.5,5,6,18.3,13.3,美浦加藤和,484(-6)
4,6,9,アルデドゥオーモ,牡4,60.0,金子,3:36.5,クビ,10,53.2,13.3,美浦矢野,490(-2)
5,3,3,ザスリーサーティ,牡10,57.0,▲坂口,3:36.7,1.1/4,13,115.6,13.3,美浦尾形,476(-4)
6,5,6,シャンドゥレール,セ5,60.0,大江圭,3:36.8,1/2,7,29.4,13.3,美浦国枝,496(+2)
7,8,13,ルドヴィクス,牡7,60.0,小牧加,3:37.2,2.1/2,1,1.8,13.4,美浦久保田,518(+2)
8,6,8,トゥラッタッタ,牡4,60.0,江田勇,3:37.9,4,12,88.1,13.4,美浦新開,472(0)
9,2,2,エンデュミオン,牡8,61.0,黒岩,3:39.1,7,2,5.0,13.5,栗東清水久,472(0)
10,4,5,テイエムナイスラン,牡6,57.0,▲土田,3:41.6,大,9,43.9,13.6,美浦石栗,544(+10)
11,4,4,メイショウカズサ,牡8,60.0,森一,3:43.0,9,11,67.7,13.7,栗東安達,476(-4)
中止,5,7,ヒルズカーン,牡5,60.0,草野,,,8,36.5,,美浦松永康,504(+4)
中止,7,11,サルサロッサ,牝6,57.0,▲井上,,,5,13.3,,美浦高柳瑞,456(-6)
