着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,12,リュウカルネ,牡2,55.0,横山武,1:46.3,,1,2.5,37.6,美浦伊藤圭,502(0)
2,1,1,ケイアイアギト,牡2,55.0,斎藤,1:46.9,3.1/2,6,19.9,37.8,美浦加藤征,516(0)
3,5,6,セスティーナ,牡2,55.0,武豊,1:46.9,クビ,2,3.7,37.9,栗東須貝,494(0)
4,8,13,タイセイモノリス,牡2,55.0,横山和,1:47.3,2,3,5.6,38.6,美浦栗田,468(0)
5,7,10,インシオン,牡2,55.0,丹内,1:47.3,アタマ,4,8.4,37.8,栗東藤原,502(0)
6,2,2,ココラッシー,牡2,52.0,▲柴田裕,1:47.6,2,13,135.0,37.6,栗東西園翔,426(0)
7,5,7,デールエルバハリ,牝2,52.0,▲小林美,1:47.8,1.1/4,8,35.6,37.4,栗東杉山佳,490(0)
8,3,3,スノースコール,牡2,55.0,浜中,1:48.0,1,7,21.6,38.8,美浦加藤征,502(0)
9,6,8,オーケートムボーイ,牝2,55.0,古川吉,1:48.0,クビ,10,43.3,37.8,栗東奥村豊,456(0)
10,4,4,ワラビガミ,牝2,55.0,落合玄,1:49.3,8,11,51.2,39.5,栗東新谷,410(0)
11,7,11,セイウンブシドウ,牡2,55.0,佐々木,1:49.3,ハナ,5,11.9,40.4,美浦伊藤大,516(0)
12,4,5,ワールドブレイヴ,牡2,52.0,▲舟山,1:49.7,2,12,56.8,40.5,美浦宮田,480(0)
13,6,9,シェンフー,牡2,55.0,石川倭,1:51.1,8,9,41.0,42.1,栗東前川,514(0)
