馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,マランジュ,牝5,松本,栗東・田中克,差し,184.8,15,10,4歳以上1勝クラス,34.6,434(0),福島,125,中17週,Y,,3,ハービンジャー,シンボリクリスエス,
3,2,タマカヅラ,牝3,小林美,美浦・斎藤誠,,10.5,7,1,3歳未勝利,34.7,434(+8),福島,125,中17週,Y,,3,フィエールマン,ダイワメジャー,
4,2,サンポーニャ,牝5,鷲頭,栗東・池江,,5.9,4,2,3歳以上1勝クラス,35.2,454(+4),札幌,20,中2週,Y,,3,モーリス,ディープインパクト,
5,3,ペルフェツィオーネ,牡4,斎藤,栗東・杉山佳,差し,70.0,13,7,3歳以上1勝クラス,35.2,452(-2),函館,55,中7週,Y,,3,ルーラーシップ,チチカステナンゴ,
6,3,オーケーダイナ,牝3,武豊,栗東・奥村豊,先行,5.6,3,3,3歳以上1勝クラス,34.9,432(+2),函館,48,中6週,Y,,3,Saxon Warrior,Nathaniel,
7,4,ザングウィル,牡5,浜中,栗東・佐藤悠,差し,34.1,10,7,3歳以上1勝クラス,34.3,514(+6),函館,76,中10週,Y,,3,Dandy Man,Nayef,
8,4,クイーンズデイ,牝3,池添,栗東・岡田,先行,27.0,9,9,,36.0,446(+2),札幌,21,中2週,Y,,3,ラブリーデイ,キングヘイロー,
9,5,スプリングデイ B,牝4,古川奈,美浦・伊藤大,差し,8.6,6,4,3歳以上1勝クラス,34.5,436(+2),札幌,20,中2週,Y,,3,ディスクリートキャット,ストーミングホーム,
10,5,ダノンリュラ,牝3,横山和,美浦・菊沢,先行,8.6,5,3,3歳1勝クラス,33.6,466(+24),東京,119,中16週,Y,,3,ドレフォン,ステイゴールド,
11,6,ミクストベリーズ B,牡3,丹内,美浦・伊藤圭,先行,5.4,2,3,,34.5,474(+4),札幌,13,中1週,Y,,3,Iffraaj,Kodiac,
12,6,グランテレーズ,牝4,落合玄,栗東・渡辺,,42.8,11,4,,35.5,458(+4),札幌,13,中1週,Y,,3,シュヴァルグラン,エリシオ,
13,7,ウィンストン,牡3,横山武,栗東・杉山晴,先行,5.1,1,5,3歳以上1勝クラス,34.2,492(0),中京,34,中4週,Y,,3,モーリス,コマンズ,
14,7,シャインズオンユー,牡4,古川吉,栗東・藤野,差し,71.4,14,4,3歳以上1勝クラス,34.1,452(+4),札幌,35,中4週,Y,,3,サトノクラウン,ファスリエフ,
15,8,コモンスナイプ,牡3,舟山,栗東・藤岡,先行,45.0,12,13,3歳以上1勝クラス,34.5,456(-6),中京,27,中3週,Y,,3,Too Darn Hot,Dark Angel,
16,8,ムチャスグラシアス,牝4,佐々木,美浦・菊川,先行,18.0,8,8,3歳以上1勝クラス,35.4,450(0),札幌,20,中2週,Y,,3,カリフォルニアクローム,シンボリクリスエス,
