着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,ボンドロア,牡3,55.0,横山典,2:42.8,,7,16.5,36.4,栗東松永幹,476(+6)
2,5,7,マテンロウゴールド,牡4,58.0,横山武,2:43.3,3,1,3.7,37.5,栗東中内田,518(+4)
3,2,2,ウインデイジー,牝4,56.0,松岡,2:43.6,2,4,6.5,36.6,栗東宮,460(0)
4,7,11,ロットブラータ,牡3,55.0,池添,2:43.7,アタマ,2,5.2,37.8,栗東平田,536(+12)
5,7,12,ブリヤディアマンテ,牡3,55.0,小林美,2:44.0,1.3/4,10,20.6,37.5,美浦小島,472(0)
6,4,5,アスクガンバーレ,牡3,55.0,丹内,2:44.0,クビ,11,32.0,36.9,栗東福永,444(+2)
7,3,4,アスクデッドヒート,牡3,55.0,古川奈,2:44.1,クビ,8,17.1,37.2,栗東矢作,464(-8)
8,8,14,テイキットイージー,牡4,58.0,川又,2:44.2,1/2,12,148.0,37.6,美浦萱野,452(+12)
9,3,3,シャインバオバブ,牡3,55.0,松本,2:44.5,2,9,18.2,37.9,栗東本田,496(-10)
10,6,10,ニヴルヘイム,牡3,55.0,浜中,2:44.7,1.1/4,6,10.8,37.9,美浦栗田,452(+8)
11,8,13,オロスコピオ,牝3,53.0,斎藤,2:45.2,3,13,175.2,38.2,美浦青木,434(+2)
12,4,6,バルナバ,牡3,55.0,武豊,2:45.2,クビ,5,9.2,38.3,栗東浜田,520(+2)
13,5,8,アルディスティーノ,牝3,53.0,横山和,2:45.4,1,3,5.8,39.4,栗東安田,472(-2)
14,6,9,ゲレル,牝3,53.0,和田陽,2:45.9,3,14,217.8,38.4,美浦小野,444(-2)
