馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,タワワ,牝2,小崎,栗東・秋山,,44.9,8,,,,426(0),,,,,,,タワーオブロンドン,サンデーサイレンス,,
2,2,ハナイロマヒナ,牝2,和田陽,栗東・高橋亮,,179.3,11,,,,396(0),,,,,,,ロゴタイプ,トビーズコーナー,,
3,3,メイショウボンテン,牡2,武豊,栗東・飯田,,11.6,5,,,,452(0),,,,,,,キセキ,メイショウボーラー,,
4,4,サンライズスピード,牡2,田山,栗東・浜田,,65.2,9,,,,444(0),,,,,,,タワーオブロンドン,ヨハネスブルグ,,
5,5,シラヌイ,牝2,吉村,栗東・高橋亮,,4.8,3,,,,452(0),,,,,,,フィレンツェファイア,キンシャサノキセキ,,
6,6,ナムラコスモス,牝2,田口,栗東・大橋,,9.6,4,,,,480(0),,,,,,,ダノンプレミアム,ジョーカプチーノ,,
7,6,クリスプレミアム,牝2,河原田,栗東・渡辺,,37.1,7,,,,436(0),,,,,,,ダノンプレミアム,シンボリクリスエス,,
8,7,ディジーピナクル,牡2,岩田望,栗東・千田,,3.0,2,,,,490(0),,,,,,,エピファネイア,Dubawi,,
9,7,トップアタック,牡2,鮫島駿,栗東・小椋,,12.4,6,,,,460(0),,,,,,,サトノダイヤモンド,ロードカナロア,,
10,8,パーシャングレー,牡2,松山,栗東・池添,,2.7,1,,,,476(0),,,,,,,Dark Angel,Shamardal,,
11,8,アクアマイスター,牡2,松若,栗東・藤野,,153.9,10,,,,458(0),,,,,,,フィレンツェファイア,ヘニーヒューズ,,
