馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,トウタツ,牡3,佐々木,美浦・小手川,差し,37.3,9,12,3歳以上1勝クラス,41.0,504(-8),新潟,44,中5週,Y,,3,ダノンレジェンド,シャンハイボビー,
2,1,ペイシャブギー,牝3,菊沢,美浦・本間,差し,239.1,13,6,3歳未勝利,38.0,420(-2),新潟,43,中5週,Y,,3,モーニン,ディープインパクト,
3,2,ニシノルミリオン,牡4,水沼,美浦・加藤和,先行,352.6,14,16,3歳以上1勝クラス,34.3,500(+2),新潟,22,中2週,Y,,3,ファインニードル,アグネスタキオン,
4,2,アイファーリーベン,牝6,的場,美浦・的場,追込,693.7,16,11,3歳以上1勝クラス,38.6,460(+2),中京,15,中1週,Y,,3,アーネストリー,スパイキュール,
5,3,トゥインクルアップ B,牝3,小林美,栗東・杉山佳,先行,5.7,3,5,3歳以上1勝クラス,36.0,486(+12),小倉,78,中10週,Y,,3,ロジャーバローズ,バトルプラン,
6,3,グランプレジール,セ6,モレイ,美浦・堀,先行,5.0,2,5,4歳以上1勝クラス,38.1,516(+4),中山,190,中26週,Y,Y,3,モーリス,ゼンノロブロイ,
7,4,カップッチョ B,牡8,,美浦・南田,差し,355.0,15,7,3歳以上1勝クラス,36.2,486(-16),札幌,22,中2週,Y,,3,ジョーカプチーノ,ウイニングチケット,
8,4,ワンダラー,牡3,内田博,美浦・黒岩,差し,2.0,1,2,3歳1勝クラス,35.5,524(+2),京都,128,中17週,Y,,3,マクフィ,ルーラーシップ,
9,5,サンロレンツォ,牝4,岩田望,美浦・武藤,追込,35.2,8,12,4歳以上1勝クラス,35.0,510(+16),東京,128,中17週,Y,,3,シャンハイボビー,フジキセキ,
10,5,ナインオブレター,牡3,菅原明,美浦・佐藤吉,先行,8.8,4,3,3歳以上1勝クラス,37.6,452(+4),新潟,37,中4週,Y,,3,モーニン,スマートファルコン,
11,6,ウインサマースノー,牡4,丹内,美浦・尾形,逃げ,23.4,7,12,3歳以上1勝クラス,42.4,476(-16),札幌,8,連闘,Y,,1,ゴールドシップ,ロージズインメイ,
12,6,エスグラシア,牝6,,美浦・加藤和,差し,223.9,11,8,3歳以上1勝クラス,35.6,478(+8),札幌,29,中3週,Y,,3,ストロングリターン,アグネスタキオン,
13,7,オコジュ B,牝5,嶋田,美浦・矢嶋,先行,67.7,10,14,3歳以上1勝クラス,40.0,466(0),新潟,29,中3週,Y,,3,ロゴタイプ,ハービンジャー,
14,7,カービスベイ,牡3,武藤,美浦・武藤,差し,230.9,12,7,3歳未勝利,36.4,516(+6),札幌,30,中3週,Y,,3,タワーオブロンドン,Storm Cat,
15,8,シンガソング,牝3,横山和,美浦・土田,,13.5,5,1,3歳未勝利,37.0,424(0),東京,121,中16週,Y,,3,ファインニードル,クロフネ,
16,8,レインボーラッキー,牝3,斎藤,美浦・斎藤誠,先行,13.7,6,10,3歳1勝クラス,37.3,436(-4),東京,120,中16週,Y,,2,Quality Road,Awesome Again,
