着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,4,バスタードサフラン,牝4,54.0,酒井,1:51.6,,5,11.1,38.1,栗東渡辺,484(+16)
2,4,6,ワイドブリザード,セ4,56.0,浜中,1:51.8,1.1/2,2,4.2,38.7,栗東佐藤悠,442(+4)
3,8,14,ペンナヴェローチェ,牡4,57.0,川田,1:52.0,3/4,1,2.8,36.9,栗東須貝,490(-8)
4,4,5,タマモプルメリア,牝4,52.0,古川吉,1:52.5,3,12,57.0,38.2,栗東大橋,464(-8)
5,6,9,ダブルジョーク,牡5,56.0,長岡,1:52.7,1.1/4,4,8.9,37.1,栗東小林,568(-6)
6,5,8,エレクトリックブギ,牡4,55.0,高杉,1:53.2,3.1/2,7,18.8,38.9,美浦鹿戸,448(0)
7,6,10,メイショウポペット,牝5,52.0,松若,1:53.5,2,10,39.2,38.1,栗東角田,488(+4)
8,1,1,ニホンピロハーバー,牡7,54.0,田口,1:54.0,2.1/2,13,156.1,39.3,栗東安達,504(-6)
9,8,13,スマートリアファル,牡4,56.0,和田竜,1:54.0,クビ,6,16.9,39.6,栗東加藤公,500(+14)
10,2,2,タガノアレハンドラ,牝5,53.0,国分恭,1:54.1,1/2,11,51.1,38.6,栗東西園翔,506(+2)
11,7,12,グラヴィス,牡4,55.0,鮫島駿,1:54.5,2.1/2,9,26.0,39.4,栗東矢作,496(-2)
12,7,11,ラップスター,牡5,55.0,団野,1:54.6,クビ,8,22.8,40.5,栗東森秀,506(+12)
13,5,7,アウトドライブ,牡4,56.0,松山,1:54.7,3/4,3,5.2,39.2,栗東鈴木孝,558(-2)
14,3,3,シークレットキー,牡4,54.0,富田,1:55.0,1.3/4,14,161.0,40.3,栗東井上,492(-2)
