着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,11,シュタールヴィント,牡5,58.0,西村淳,1:08.3,,2,5.2,33.1,栗東矢作,446(+12)
2,1,1,ルーフ,牝5,56.0,松若,1:08.3,クビ,7,12.2,33.6,栗東清水久,502(0)
3,3,6,モンシュマン,牡4,58.0,団野,1:08.3,クビ,8,13.6,33.3,栗東上村,472(+2)
4,5,10,エコロマーズ,牡4,58.0,坂井,1:08.4,クビ,6,11.4,34.0,栗東牧浦,488(-2)
5,4,7,ミルテンベルク,牡4,58.0,松山,1:08.5,1/2,4,8.9,32.8,栗東武英,492(0)
6,2,3,バンドシェル,牡4,58.0,鮫島駿,1:08.6,1,5,10.6,32.9,栗東西村,490(+2)
7,2,4,セシリエプラージュ,牝4,56.0,岩田望,1:08.6,ハナ,3,6.8,33.6,栗東中村,430(0)
8,1,2,ヤマニンアストロン,牡4,58.0,武豊,1:08.7,クビ,9,22.7,33.3,栗東石橋,490(-4)
9,5,9,レッドエヴァンス,セ4,58.0,モレイ,1:08.8,3/4,1,2.9,33.9,栗東東田,500(+14)
10,8,16,ジャスパーノワール,牡4,58.0,中井,1:09.0,1,11,46.9,34.5,栗東森秀,514(0)
11,7,13,ルミノメテオール,牝5,56.0,岩田康,1:09.0,ハナ,12,57.8,33.5,美浦金成,458(-8)
12,6,12,デイトナモード,牡5,58.0,富田,1:09.0,クビ,13,137.5,34.3,栗東千田,536(+6)
13,8,15,ニシノコウダイ,牡5,58.0,田口,1:09.0,クビ,14,163.7,33.6,栗東長谷川,484(+4)
14,7,14,ロードトレイル,牡4,58.0,高杉,1:09.7,4,10,38.1,34.7,栗東藤岡,480(+2)
15,4,8,コナブラック,牡6,58.0,吉村,1:09.9,1,15,168.7,33.7,栗東清水久,524(-4)
16,3,5,ベンダバリラビア,牡5,58.0,菱田,1:10.1,1.1/2,16,404.3,33.7,栗東寺島,532(-2)
