馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アンラコル,牝2,武藤,美浦・武藤,,67.6,11,,,,446(0),,,,,,,ゴールドシップ,マイネルラヴ,,
2,1,マリブ,牡2,吉田豊,美浦・和田郎,,314.3,17,,,,446(0),,,,,,,サトノジェネシス,ウインクリューガー,,
3,2,アルカマル,牡2,内田博,美浦・青木,,119.0,14,,,,458(0),,,,,,,アルアイン,Sinndar,,
4,2,トーセンエリオット,牡2,佐々木,美浦・土田,,112.2,13,,,,448(0),,,,,,,ハイランドリール,Lope de Vega,,
5,3,フクスケ,牡2,木幡巧,美浦・杉浦,,179.5,16,,,,456(0),,,,,,,タリスマニック,アドマイヤムーン,,
6,3,ティラーノ,牡2,大野,美浦・小手川,,50.6,9,,,,464(0),,,,,,,ゴールドシップ,バトルプラン,,
7,4,ブレイズランナー,牡2,横山武,美浦・蛯名正,,53.2,10,,,,480(0),,,,,,,アルアイン,ハービンジャー,,
8,4,ウインブリザード,牡2,石神道,美浦・深山,,26.5,7,,,,472(0),,,,,,,ゴールドシップ,Pulpit,,
9,5,ヒズマスターピース,牝2,菅原明,美浦・国枝,,3.8,2,,,,514(0),,,,,,,スクリーンヒーロー,Danehill Dancer,,
10,5,パーシヴァル,牡2,石川,美浦・相沢,,25.7,6,,,,476(0),,,,,,,デクラレーションオブウォー,ディープインパクト,,
11,6,キャルナイト,牡2,ルメー,美浦・鹿戸,,6.7,3,,,,434(0),,,,,,,サトノクラウン,ノヴェリスト,,
12,6,フロステリオン,牡2,菊沢,美浦・萱野,,170.4,15,,,,442(0),,,,,,,ディープブリランテ,ダンカーク,,
13,7,ナイスプレーアスク,牝2,荻野極,美浦・田村,,31.4,8,,,,436(0),,,,,,,アドマイヤマーズ,ディープインパクト,,
14,7,ナンヨーロイヤル,牡2,松山,美浦・中舘,,17.4,5,,,,446(0),,,,,,,キタサンブラック,Smart Strike,,
15,8,エピックフライト,牡2,モレイ,美浦・黒岩,,1.9,1,,,,498(0),,,,,,,エピファネイア,ヨハネスブルグ,,
16,8,イブキ,牡2,,美浦・矢野,,78.6,12,,,,454(0),,,,,,,レイデオロ,ゼンノロブロイ,,
17,8,ベルランコントル,牝2,丹内,美浦・伊藤大,,14.2,4,,,,462(0),,,,,,,キタサンブラック,Teofilo,,
