着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,15,エピックフライト,牡2,55.0,モレイ,2:01.2,,1,1.9,34.4,美浦黒岩,498(0)
2,6,11,キャルナイト,牡2,55.0,ルメー,2:01.3,1/2,3,6.7,34.1,美浦鹿戸,434(0)
3,5,10,パーシヴァル,牡2,55.0,石川,2:01.5,1.1/4,6,25.7,34.3,美浦相沢,476(0)
4,8,16,イブキ,牡2,55.0,原,2:01.6,3/4,12,78.6,34.2,美浦矢野,454(0)
5,8,17,ベルランコントル,牝2,55.0,丹内,2:01.9,2,4,14.2,35.6,美浦伊藤大,462(0)
6,5,9,ヒズマスターピース,牝2,55.0,菅原明,2:02.0,3/4,2,3.8,35.8,美浦国枝,514(0)
7,7,13,ナイスプレーアスク,牝2,55.0,荻野極,2:02.1,3/4,8,31.4,35.8,美浦田村,436(0)
8,4,8,ウインブリザード,牡2,52.0,▲石神道,2:02.2,1/2,7,26.5,34.5,美浦深山,472(0)
9,3,5,フクスケ,牡2,55.0,木幡巧,2:02.3,クビ,16,179.5,35.5,美浦杉浦,456(0)
10,4,7,ブレイズランナー,牡2,55.0,横山武,2:02.3,クビ,10,53.2,34.9,美浦蛯名正,480(0)
11,6,12,フロステリオン,牡2,55.0,菊沢,2:03.1,5,15,170.4,35.4,美浦萱野,442(0)
12,3,6,ティラーノ,牡2,55.0,大野,2:03.8,4,9,50.6,35.3,美浦小手川,464(0)
13,7,14,ナンヨーロイヤル,牡2,55.0,松山,2:04.2,2.1/2,5,17.4,37.6,美浦中舘,446(0)
14,2,3,アルカマル,牡2,55.0,内田博,2:04.5,1.3/4,14,119.0,36.4,美浦青木,458(0)
15,1,2,マリブ,牡2,55.0,吉田豊,2:04.7,1,17,314.3,36.6,美浦和田郎,446(0)
16,1,1,アンラコル,牝2,55.0,武藤,2:04.9,1.1/2,11,67.6,36.4,美浦武藤,446(0)
17,2,4,トーセンエリオット,牡2,55.0,佐々木,2:06.6,10,13,112.2,38.1,美浦土田,448(0)
