着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,6,カズゴルティス,セ4,55.0,菅原明,1:10.9,,5,9.8,36.9,栗東西園翔,494(-8)
2,5,10,ショウナンアビアス,牡5,57.0,モレイ,1:11.0,1/2,1,4.0,36.7,美浦加藤士,502(+2)
3,4,8,エンヤラヴフェイス,牡4,56.0,丹内,1:11.2,1,10,20.0,35.5,栗東森田,506(-4)
4,7,13,キタノソワレ,牝4,54.0,戸崎圭,1:11.3,1/2,3,8.4,37.0,美浦本間,480(+6)
5,2,3,ブレーザー,牡4,56.0,坂井,1:11.3,クビ,9,13.7,36.6,美浦伊坂,522(+4)
6,3,5,コブラ,牡6,55.0,菊沢,1:11.4,1/2,11,23.1,36.4,美浦菊沢,486(-2)
7,8,16,アマルナ,牝5,53.0,松山,1:11.5,3/4,4,9.6,37.7,栗東東田,476(+16)
8,5,9,メイショウフジタカ,牡7,54.0,団野,1:11.5,アタマ,15,127.2,37.0,栗東飯田,492(+2)
9,7,14,カウスリップ,牝3,52.0,横山典,1:11.5,ハナ,2,4.8,37.4,美浦中舘,536(-8)
10,6,11,ダルエスサラーム,牝5,51.0,荻野極,1:11.8,1.3/4,13,66.3,36.0,栗東秋山,478(+10)
11,8,15,ホワイトガーベラ,牡6,54.0,大野,1:12.0,1.1/4,14,97.2,36.7,美浦千葉,500(-8)
12,1,2,モンドプリューム,牡5,56.0,三浦,1:12.0,アタマ,6,11.0,37.6,美浦水野,510(0)
13,2,4,エコロアレス,牡5,55.0,岩田望,1:12.1,クビ,12,41.4,36.8,栗東森秀,484(-2)
14,4,7,ダルダヌス,牡6,54.0,佐々木,1:12.1,クビ,16,131.1,37.3,美浦尾関,552(-2)
15,6,12,スクーバー,牡5,54.0,石川,1:12.3,1.1/4,8,13.2,38.6,美浦武藤,508(+10)
16,1,1,サザンエルフ,牝6,55.0,横山和,1:12.9,3.1/2,7,12.7,39.0,美浦中川,484(+8)
