馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,マニバドラ,牡5,団野,栗東・森秀,先行,8.2,3,5,,36.3,534(+14),阪神,119,中16週,Y,,3,Speightstown,Milwaukee Brew,
2,1,プロトポロス B,牡5,小沢,栗東・西村,,19.1,7,1,,37.4,486(0),中京,43,中5週,Y,,3,War Front,サンデーブレイク,
3,2,キタノズエッジ,牡4,池添,栗東・畑端,差し,16.1,6,4,,35.7,546(+4),阪神,119,中16週,Y,,3,ジョーカプチーノ,キングカメハメハ,
4,2,スターターン,牡4,川田,栗東・坂口,差し,7.0,2,9,,36.1,500(+10),阪神,119,中16週,Y,,3,グレーターロンドン,スニッツェル,
5,3,ソウテン B,牡6,鮫島駿,栗東・斉藤崇,先行,115.5,13,5,,34.1,538(+12),京都,141,中19週,Y,,3,ロードカナロア,Dubawi,
6,3,サクセスローレル B,牡6,亀田,栗東・北出,先行,283.8,16,15,,38.8,524(-8),阪神,106,中14週,Y,,3,マスタリー,ストリートセンス,
7,4,メタマックス,牡5,吉村,栗東・森秀,差し,119.6,14,13,,36.9,534(0),中山,168,中23週,Y,,3,Into Mischief,Not for Love,
8,4,メイショウミツヤス,牡7,和田竜,栗東・飯田,差し,262.8,15,12,,37.3,518(+6),阪神,119,中16週,Y,,3,トゥザグローリー,マンハッタンカフェ,
9,5,アメリカンステージ,牡3,坂井,栗東・矢作,逃げ,1.9,1,6,,,,メイダン,183,中25週,,Y,1,Into Mischief,Warrior's Reward,
10,5,ロードラディウス,牡5,松若,栗東・森田,先行,60.7,12,5,,37.3,480(-2),新潟,154,中21週,Y,,3,ドレフォン,Frankel,
11,6,スマートフォルス,牡5,横山武,栗東・吉村,差し,44.0,10,10,,37.5,484(+2),阪神,106,中14週,Y,,3,シニスターミニスター,ロードカナロア,
12,6,タガノミスト,牝4,松山,栗東・渡辺,先行,10.6,4,1,,36.8,488(0),新潟,50,中6週,Y,,3,マジェスティックウォリアー,エンパイアメーカー,
13,7,ニットウバジル,牡5,吉田豊,美浦・高橋文,先行,22.0,8,1,,36.2,510(-4),中山,218,中30週,Y,Y,3,ダノンレジェンド,ザッツザプレンティ,
14,7,ジョーローリット,牝4,内田博,栗東・中竹,,23.0,9,2,,36.3,504(+8),中山,21,中2週,Y,,3,ダノンレジェンド,ジョーカプチーノ,
15,8,メズメライザー,セ6,高杉,栗東・千田,差し,59.5,11,11,,36.5,528(+6),福島,77,中10週,Y,,3,ディスクリートキャット,パイロ,
16,8,スマートサニー,牡5,浜中,栗東・石橋,逃げ,11.9,5,11,,37.7,480(+2),阪神,106,中14週,Y,,3,シニスターミニスター,キングカメハメハ,
