着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,9,レーベンスティール,牡5,57.0,津村,1:44.0,,5,7.7,33.3,美浦田中博,484(0)
2,7,8,ホウオウビスケッツ,牡5,57.0,岩田康,1:44.1,1/2,2,4.3,33.8,美浦奥村武,508(-6)
3,8,10,サトノシャイニング,牡3,55.0,武豊,1:44.2,3/4,1,2.4,33.7,栗東杉山晴,498(+2)
4,3,3,ディマイザキッド,牡4,57.0,岩田望,1:44.4,1.1/2,7,28.7,33.2,美浦清水英,464(+4)
5,2,2,エルトンバローズ,牡5,57.0,西村淳,1:44.5,1/2,4,6.9,33.8,栗東杉山晴,516(-4)
6,5,5,ジェイパームス,セ5,57.0,佐々木,1:44.6,3/4,10,57.4,33.6,美浦堀,510(0)
7,6,6,チェルヴィニア,牝4,56.0,戸崎圭,1:44.7,クビ,3,5.0,33.8,美浦木村,500(+16)
8,1,1,ロングラン,セ7,58.0,丹内,1:44.7,クビ,9,48.4,33.3,美浦和田勇,490(+14)
9,6,7,シルトホルン,牡5,57.0,大野,1:44.8,3/4,8,36.0,33.9,美浦新開,464(-14)
10,4,4,ラファドゥラ,牝5,55.0,菅原明,1:44.9,1/2,11,132.9,33.8,美浦小島,496(+6)
11,8,11,シリウスコルト,牡4,57.0,古川吉,1:45.2,1.3/4,6,26.4,34.5,美浦田中勝,496(+6)
