馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,コスモオピニオン,牡5,和田竜,美浦・黒岩,差し,63.8,8,9,,39.0,508(-2),中山,28,中3週,Y,,3,ダノンバラード,アイルハヴアナザー,
2,2,セイウンガレオン,セ6,古川吉,美浦・奥平,差し,207.0,12,12,,38.9,528(-2),札幌,36,中4週,Y,,3,ドゥラメンテ,ストラヴィンスキー,
3,3,オールマイデイズ,牡5,佐々木,美浦・矢嶋,差し,37.8,7,7,,37.6,502(-6),新潟,79,中10週,Y,,3,リアルスティール,シンボリクリスエス,
4,4,スーパージョック,牡3,,栗東・佐々木,先行,7.5,4,1,3歳以上1勝クラス,37.5,500(+8),中京,43,中5週,Y,,3,デクラレーションオブウォー,キングヘイロー,
5,5,キュピドン,牡5,松若,栗東・森秀,差し,76.6,9,5,東京カップ,39.4,516(-1),盛岡,48,中6週,,,2,American Pharoah,Cuvee,
6,5,ゴヴェルナーレリコ,牝4,菅原明,美浦・辻,逃げ,37.2,6,8,3歳以上2勝クラス,39.2,444(+2),中山,22,中2週,Y,,3,エイシンフラッシュ,タートルボウル,
7,6,タッチャブル B,牡5,吉村,栗東・中村,差し,108.1,10,6,,37.1,516(0),阪神,37,中4週,Y,,3,リアルスティール,ルーラーシップ,
8,6,テーオーライマン,牡3,高杉,栗東・宮,差し,3.3,2,3,,37.0,464(+10),阪神,30,中3週,Y,,3,ダノンバラード,アグネスデジタル,
9,7,ハナウマビーチ,牡3,松山,栗東・西園翔,先行,6.4,3,1,3歳以上1勝クラス,37.0,518(+2),阪神,23,中2週,Y,,3,ゴールドドリーム,スキャターザゴールド,
10,7,シホノペルフェット B,牡3,坂井,栗東・寺島,差し,20.6,5,11,3歳以上2勝クラス,36.3,504(-6),東京,9,連闘,Y,,3,マジェスティックウォリアー,サクラバクシンオー,
11,8,タガノマカシヤ,牡3,岩田望,栗東・中村,,1.9,1,2,,37.3,506(+4),阪神,30,中3週,Y,,3,アメリカンペイトリオット,フジキセキ,
12,8,メイショウトム,牡4,田口,栗東・谷,先行,153.1,11,10,,40.9,478(-4),中山,28,中3週,Y,,3,パレスマリス,Street Cry,
