着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,2,アスクシュタイン,牡3,56.0,松本,1:50.7,,3,4.5,36.7,栗東藤原,518(+20)
2,6,11,アラレタバシル,牡4,58.0,丸山,1:51.2,3,6,11.2,36.4,美浦根本,466(+12)
3,4,6,ブルータス,牡3,56.0,杉原,1:51.7,3,4,6.0,36.6,美浦高柳瑞,458(0)
4,5,8,ミライヘノカギ,牡3,56.0,荻野極,1:51.8,1/2,2,4.4,37.3,美浦上原佑,528(+8)
5,8,14,タマモキャリコ,セ4,58.0,鮫島駿,1:52.4,3.1/2,5,7.2,38.1,栗東宮地,424(+8)
6,5,9,エイブラムス,牡4,58.0,今村,1:52.4,ハナ,10,57.3,37.3,美浦鈴木慎,468(-14)
7,2,3,キングオブフジ,牡4,58.0,中井,1:52.5,クビ,9,38.0,37.1,栗東角田,506(+6)
8,6,10,アイウィル,牡4,58.0,西塚,1:52.5,ハナ,7,15.4,37.7,美浦高木,514(+2)
9,1,1,アールプロスト,牡3,56.0,丹内,1:52.6,1/2,1,4.3,37.2,美浦伊藤大,514(-2)
10,7,13,ブーバー,牝5,56.0,菊沢,1:52.6,アタマ,12,106.0,38.6,美浦新開,432(0)
11,8,15,ラオラシオン,牡4,58.0,斎藤,1:53.9,8,8,28.0,39.4,美浦斎藤誠,490(-6)
12,3,5,イデアユウシン,牡5,58.0,江田照,1:54.2,2,15,243.9,39.4,美浦松永康,544(+8)
13,4,7,コルサファターレ,セ5,58.0,石神道,1:54.2,ハナ,13,150.1,39.0,美浦中川,504(-12)
14,7,12,ユメハハテシナク,牡5,58.0,小林脩,1:54.3,1/2,11,75.7,39.0,栗東石坂,484(+4)
15,3,4,エンファサイズ,牡5,58.0,小沢,1:54.7,2.1/2,14,162.4,40.4,美浦小笠,464(0)
