馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,モズロックンロール,牡5,鷲頭,栗東・藤岡,先行,23.2,10,7,,35.4,520(+6),新潟,160,中22週,Y,,3,ビーチパトロール,マンハッタンカフェ,
2,1,ヴィレム,牡4,西塚,栗東・藤原,差し,7.6,5,5,,33.2,520(-4),中京,91,中12週,Y,,3,キズナ,Mizzen Mast,
3,2,シンハナーダ,牡4,鮫島駿,美浦・国枝,差し,5.6,2,5,,36.6,460(+6),東京,132,中18週,Y,,3,レイデオロ,ウォーエンブレム,
4,2,モズマーヴェリック,牡4,国分恭,栗東・牧浦,差し,44.9,14,4,,34.2,480(-2),中山,41,中5週,Y,,3,リアルスティール,キングカメハメハ,
5,3,ドラゴンヘッド,牡5,横山琉,美浦・武藤,差し,40.2,12,15,,36.3,450(+2),新潟,56,中7週,Y,,3,ラブリーデイ,アドマイヤムーン,
6,3,タイキラフター,牡5,杉原,美浦・大竹,差し,22.8,9,4,,33.8,524(+6),京都,20,中2週,Y,,3,ハーツクライ,Any Given Saturday,
7,4,サダムオプシス,牡4,藤懸,栗東・平田,先行,22.3,7,11,,36.4,480(+4),新潟,56,中7週,Y,,3,ルーラーシップ,サムライハート,
8,4,シルキーガール,牝4,丹内,栗東・上村,差し,9.8,6,2,,33.6,468(-2),中京,91,中12週,Y,,3,デクラレーションオブウォー,ディープインパクト,
9,5,ウインオーディン,牡5,荻野極,美浦・鹿戸,差し,5.6,3,2,,34.9,490(+2),新潟,56,中7週,Y,,3,エピファネイア,フジキセキ,
10,5,マイネルエニグマ,牡7,国分優,栗東・吉田,差し,75.2,16,3,,34.6,478(+2),小倉,272,中38週,Y,Y,3,グラスワンダー,ステイゴールド,
11,6,シャンデルナゴル,牡5,舟山,栗東・石坂,差し,231.4,18,9,,34.3,494(-4),阪神,34,中4週,Y,,3,サトノダイヤモンド,キングカメハメハ,
12,6,ウインアイオライト,牝5,菊沢,美浦・矢嶋,,41.1,13,15,,34.9,472(-2),新潟,62,中8週,Y,,3,スクリーンヒーロー,マイネルラヴ,
13,7,タガノデュード,牡4,古川吉,栗東・宮,差し,5.1,1,8,,35.3,488(-4),阪神,42,中5週,Y,,3,ヤマカツエース,ハーツクライ,
14,7,ナヴォーナ B,牡5,川端,栗東・矢作,差し,45.6,15,1,,35.8,502(+18),中京,321,中45週,Y,Y,3,ロードカナロア,Soldier Hollow,
15,7,アスクナイスショー,牡4,斎藤,美浦・中舘,先行,6.8,4,2,,34.4,504(+6),中山,41,中5週,Y,,3,シルバーステート,アドマイヤムーン,
16,8,ダノンフロイデ B,牡6,小沢,栗東・坂口,,100.3,17,1,,34.9,482(0),京都,168,中23週,Y,,3,キングカメハメハ,Storm Cat,
17,8,キャントウェイト,牡4,野中,美浦・萱野,先行,22.3,8,3,,34.1,476(-2),京都,20,中2週,Y,,3,ゴールドシップ,アグネスデジタル,
18,8,ミカッテヨンデイイ,牝5,小林脩,美浦・堀内,差し,34.2,11,3,,33.8,430(-2),中山,41,中5週,Y,,3,イスラボニータ,ステイゴールド,
