馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アルシミスト,セ4,大野,美浦・浅利,先行,95.5,12,11,3歳以上1勝クラス,37.2,514(-4),東京,126,中17週,Y,,3,オルフェーヴル,Tapizar,,
2,1,キカオクベシ,牝3,長浜,美浦・根本,追込,58.3,10,9,3歳以上1勝クラス,36.1,444(-2),東京,13,中1週,Y,,3,ダノンレジェンド,ハービンジャー,,
3,2,ジェイエルバース,牡3,石川,美浦・小西,先行,55.7,9,12,3歳以上1勝クラス,38.6,504(+6),新潟,91,中12週,Y,,3,マジェスティックウォリアー,サウスヴィグラス,,
4,2,マイネルブリオン,牡3,松岡,美浦・矢野,差し,94.1,11,14,3歳以上1勝クラス,38.2,478(-2),東京,14,中1週,Y,,3,ゴールドドリーム,ロージズインメイ,,
5,3,アイスブレイカー,牡4,内田博,美浦・伊坂,差し,199.3,15,9,3歳以上1勝クラス,37.3,500(+2),東京,6,連闘,Y,,3,ホッコータルマエ,ゴールドアリュール,,B
6,3,ジーティーエンジン,牡3,遠藤,美浦・伊藤圭,先行,173.7,13,13,3歳以上1勝クラス,36.4,518(-8),札幌,48,中6週,Y,,3,リアルスティール,クロフネ,,B
7,4,ホウオウゴールド,牡3,横山和,美浦・栗田,差し,8.6,4,4,3歳以上1勝クラス,36.3,476(+4),東京,21,中2週,Y,,3,ディーマジェスティ,ゴールドアリュール,,
8,4,ゼンカイパイロ,牡4,横山典,美浦・伊坂,差し,9.6,5,8,3歳以上1勝クラス,36.8,486(-4),中京,70,中9週,Y,,3,パイロ,カリスタグローリ,,
9,5,マルセルテソーロ,牡3,戸崎圭,美浦・牧,逃げ,10.1,7,1,笹五位特別,41.0,494(-2),川崎,61,中8週,,,0,フィエールマン,Camelot,,
10,5,トモジャシーマ,セ5,津村,美浦・鈴木伸,差し,17.1,8,5,3歳以上1勝クラス,36.9,504(+4),中山,28,中3週,Y,,3,シャンハイボビー,グラスワンダー,,
11,6,スプランドゥール,牡4,柴田大,美浦・和田雄,追込,8.2,3,5,3歳以上1勝クラス,37.0,476(-2),東京,21,中2週,Y,,3,シルバーステート,サクラバクシンオー,,
12,6,メリーサウンド,牝3,,美浦・小笠,先行,179.0,14,15,3歳以上1勝クラス,42.0,458(0),東京,14,中1週,Y,,3,オルフェーヴル,ラムタラ,,
13,7,ポッドボウ,牡3,菅原明,栗東・矢作,逃げ,9.9,6,1,3歳五,38.1,500(-7),船橋,56,中7週,,,1,ジャスタウェイ,Malibu Moon,,
14,7,メリディアンスター,牡3,ルメー,美浦・加藤征,差し,2.8,1,5,3歳以上1勝クラス,36.0,490(+4),札幌,63,中8週,Y,,3,モズアスコット,ゴールドアリュール,,
15,8,ミツカネリブラ,牡3,木幡巧,美浦・清水英,追込,222.5,16,7,3歳1勝クラス,36.5,486(+6),東京,174,中24週,Y,,3,シルバーステート,キングカメハメハ,,
16,8,マクミランテソーロ,牡4,横山武,美浦・田中剛,,4.4,2,6,3歳以上1勝クラス,39.9,480(0),札幌,83,中11週,Y,,3,レッドファルクス,Cairo Prince,,
