馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アイザックバローズ,牡5,和田竜,栗東・友道,差し,124.3,9,8,,36.5,484(-6),京都,167,中23週,Y,,3,ドゥラメンテ,Curlin,
2,2,ジェットマグナム,牡3,丹内,栗東・安達,差し,16.4,6,7,,33.6,500(+6),京都,19,中2週,Y,,3,ヘンリーバローズ,ルーラーシップ,
3,3,バルティカ,牡3,北村友,栗東・高橋亮,先行,9.4,5,5,3歳以上2勝クラス,35.3,456(+4),京都,28,中3週,Y,,3,ルーラーシップ,ディープインパクト,
4,4,ステラクラウン,牝4,岩田望,栗東・上村,差し,6.3,4,4,3歳以上2勝クラス,34.9,500(-2),京都,28,中3週,Y,,3,ルーラーシップ,アグネスタキオン,
5,5,ハッピーアズラリー,牝5,斎藤,栗東・安田,差し,200.5,11,11,,38.1,462(-4),京都,7,連闘,Y,,3,ラブリーデイ,ディープインパクト,
6,5,キタサンハナビラ,牝3,団野,栗東・斉藤崇,逃げ,3.3,2,1,,34.2,460(+10),中京,84,中11週,Y,,3,キタサンブラック,Champs Elysees,
8,6,バガン,牡7,高杉,栗東・宮地,先行,35.7,7,1,3歳以上1勝クラス,35.1,478(0),京都,14,中1週,Y,,3,バゴ,ディープインパクト,
9,7,メディテラニアン,牡3,Ｃデム,栗東・池江,先行,6.2,3,1,,34.8,460(0),中京,97,中13週,Y,,3,サートゥルナーリア,ハーツクライ,
10,7,エコロディノス,牡3,池添,栗東・大久保,,2.5,1,3,,34.1,486(-2),阪神,48,中6週,Y,,3,キタサンブラック,ジェネラス,
11,8,ラレーヌデリス,牝5,亀田,栗東・安田,先行,55.9,8,7,3歳以上2勝クラス,35.8,476(+4),京都,28,中3週,Y,,3,エピファネイア,ダイワメジャー,
12,8,ダンツエスプリ,牡6,松本,栗東・本田,差し,155.8,10,7,,33.4,492(+4),京都,188,中26週,Y,Y,3,ゴールドシップ,アグネスデジタル,
