着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,8,タマモイカロス,牡2,56.0,高杉,1:09.2,,1,2.7,35.2,栗東藤岡,534(+10)
2,4,7,コラルリーフ,牝2,55.0,国分恭,1:09.3,3/4,11,30.8,34.8,栗東佐藤悠,456(0)
3,1,2,クリエープキー,牝2,55.0,富田,1:09.3,アタマ,13,37.2,35.4,美浦牧,448(+4)
4,6,11,ランドスター,牡2,56.0,丸田,1:09.4,3/4,2,5.5,35.2,美浦柄崎,502(+2)
5,5,9,ランプローグ,牝2,55.0,菊沢,1:09.7,1.1/2,8,20.4,35.4,美浦矢野,406(-2)
6,1,1,ハイヤーマーク,牡2,56.0,嶋田,1:09.7,1/2,5,9.8,34.9,美浦手塚久,466(+2)
7,7,13,スターオブロンドン,牡2,56.0,古川奈,1:09.7,アタマ,15,54.8,35.2,栗東矢作,478(+4)
8,2,3,コパノトーマス,牡2,56.0,原,1:09.8,クビ,3,8.4,35.3,美浦青木,476(+4)
9,3,6,クラディスティーナ,牡2,56.0,松若,1:09.8,ハナ,12,35.0,35.8,美浦清水英,488(0)
10,3,5,クイーンレグナント,牝2,55.0,荻野極,1:09.8,ハナ,4,9.3,36.2,美浦嘉藤,440(-8)
11,6,12,プリティーミズホ,牝2,55.0,吉田隼,1:09.8,クビ,7,17.9,36.1,美浦菊川,462(0)
12,5,10,ルージュサウダージ,牝2,55.0,永島ま,1:09.9,1/2,6,14.6,36.1,栗東松永幹,474(+12)
13,8,16,アルスマグナ,牡2,56.0,横山琉,1:10.1,1,10,26.3,35.6,美浦池上,450(-4)
14,2,4,エンヴィーミー,牝2,55.0,丸山,1:10.1,クビ,9,23.6,35.8,栗東森秀,460(-4)
15,8,15,ベルフラム,牝2,55.0,亀田,1:10.2,1/2,14,52.2,36.0,栗東高橋一,418(+2)
16,7,14,ストロングボンド,牡2,56.0,黛,1:10.7,3,16,164.1,36.7,美浦菊川,442(+7)
