馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,バロネッサ,牝4,吉村,美浦・田中博,差し,79.0,13,6,,35.7,506(-8),福島,147,中20週,Y,,3,ロードカナロア,オルフェーヴル,
2,1,アクアヴァーナル,牝4,坂井,栗東・四位,先行,4.8,2,2,,34.6,470(0),京都,20,中2週,Y,,3,エピファネイア,ディープインパクト,
3,2,ダノンホイットニー,牝4,ルメー,美浦・大竹,先行,17.0,8,1,,33.5,430(-8),東京,42,中5週,Y,,3,ミッキーロケット,ディープインパクト,
4,2,ウイントレメンデス,牡4,武豊,栗東・長谷川,差し,13.2,6,1,3歳以上2勝クラス,34.7,476(-2),京都,49,中6週,Y,,3,ゴールドシップ,ボストンハーバー,
5,3,ダノンシーマ,牡3,川田,栗東・中内田,先行,2.1,1,1,,33.5,494(+6),阪神,55,中7週,Y,,3,キタサンブラック,Include,
6,3,アスターブジエ,牡5,西村淳,栗東・中竹,差し,52.8,11,4,,34.3,472(-2),京都,20,中2週,Y,,3,オルフェーヴル,マンハッタンカフェ,
7,4,レミージュ,牝5,北村友,栗東・井上,差し,16.3,7,3,,34.6,454(+10),新潟,34,中4週,Y,,3,キズナ,Gone West,
8,4,ウインルーティン B,牡5,松山,栗東・長谷川,,37.4,10,5,,34.3,482(0),阪神,62,中8週,Y,,3,ゴールドシップ,ルールオブロー,
9,5,タイセイフェリーク,牝5,団野,栗東・田中克,差し,53.3,12,5,,35.0,426(-2),京都,20,中2週,Y,,3,ミッキーロケット,ディープインパクト,
10,5,レッドテリオス,牡4,マーカ,美浦・古賀,差し,12.3,4,1,,34.7,480(+2),中山,230,中32週,Y,Y,3,ジャスタウェイ,Efisio,
11,6,ミアステラ,セ6,国分優,栗東・大根田,,254.1,15,12,,37.7,514(+8),京都,195,中27週,Y,Y,3,ドゥラメンテ,Medicean,
12,6,スピードリッチ,牡4,藤岡佑,栗東・藤岡,先行,26.7,9,4,,34.3,480(-2),東京,40,中5週,Y,,3,ドレフォン,ハーツクライ,
13,7,インザモーメント,牡4,岩田望,栗東・田中克,先行,13.2,5,7,,36.6,498(+10),京都,175,中24週,Y,,3,キズナ,Curlin,
14,7,サトノクローク,牡5,,栗東・橋口,先行,207.0,14,8,,34.8,466(0),京都,48,中6週,Y,,3,サトノクラウン,ディープインパクト,
15,8,ギャンブルルーム,牡4,Ｃデム,栗東・大久保,先行,11.1,3,3,,34.8,504(+2),京都,20,中2週,Y,,3,キズナ,ヴァーミリアン,
16,8,イヤサカ,牝7,田口,美浦・天間,,324.6,16,14,,37.0,488(-6),新潟,34,中4週,Y,,3,アイルハヴアナザー,Cozzene,
