着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,4,ムルソー,牡4,58.0,ルメー,1:56.9,,1,1.7,37.5,栗東池江,512(+4)
2,2,3,ハギノサステナブル,牡5,57.0,北村友,1:56.9,クビ,9,51.3,35.8,栗東高野,476(-8)
3,5,9,ゼットリアン,牡5,57.0,松山,1:57.2,1.3/4,8,21.3,36.9,栗東吉田,442(0)
4,3,5,カンピオーネ,牡6,57.0,マーカ,1:57.2,アタマ,12,193.8,37.2,美浦栗田,516(0)
5,8,15,クールミラボー,牡5,58.0,Cデム,1:57.5,1.1/2,5,13.4,37.5,栗東寺島,498(-2)
6,3,6,リアレスト,牡4,57.0,岩田康,1:57.8,1.3/4,13,199.2,37.3,美浦尾関,516(-6)
7,6,11,フォーチュンテラー,牡6,57.0,田口,1:57.8,クビ,15,271.3,37.0,栗東浜田,490(+12)
8,1,2,ミッキーヌチバナ,牡7,59.0,レーン,1:57.9,クビ,7,17.2,38.2,栗東高橋亮,518(-4)
9,5,10,ジューンアヲニヨシ,牡5,57.0,西村淳,1:58.6,4,2,7.0,38.8,栗東松下,490(-4)
10,7,13,ザイツィンガー,牡9,57.0,国分恭,1:58.8,1.1/4,16,453.0,38.3,栗東牧田,434(+2)
11,8,16,ハグ,牡3,55.0,高杉,1:59.2,2.1/2,6,13.5,39.5,栗東藤岡,506(0)
12,1,1,サーマルソアリング,牝5,55.0,吉村,1:59.5,2,10,127.6,39.7,栗東藤原,498(-4)
13,4,8,ミッキークレスト,牡4,57.0,坂井,1:59.9,2.1/2,4,12.6,39.4,栗東大久保,516(-2)
14,4,7,スナークラファエロ,セ4,57.0,岩田望,1:59.9,クビ,3,7.1,40.3,栗東野中,474(-6)
15,6,12,メイショウフンジン,牡7,62.0,荻野琢,2:00.2,2,11,190.5,39.3,栗東西園正,528(+2)
16,7,14,ロコポルティ,牡7,58.0,団野大,2:01.3,7,14,245.1,41.1,栗東西園正,526(-4)
