着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,8,キングメーカー,牡3,55.0,ルメー,1:33.8,,3,4.5,33.2,栗東須貝,490(-4)
2,1,1,マテンロウブラボー,牡4,55.0,戸崎圭,1:34.0,1.1/4,4,9.3,33.1,栗東野中,502(0)
3,8,13,テラメリタ,牝4,55.0,川田,1:34.0,ハナ,1,3.7,33.5,栗東須貝,480(+2)
4,5,7,ホウオウシェリー,牝4,53.0,坂井,1:34.1,クビ,7,13.1,34.1,美浦池上,434(-4)
5,6,9,ヴィスマール,牡4,56.0,西村淳,1:34.1,アタマ,5,10.0,34.0,栗東奥村豊,458(+8)
6,8,12,フォーキャンドルズ,牡3,55.0,松本,1:34.3,1,9,31.6,33.5,栗東本田,504(0)
7,7,10,ジーティードレス,牝3,53.0,岩田望,1:34.3,アタマ,2,3.8,33.7,栗東辻野,438(-2)
8,4,5,サクラオーラ,牝6,54.0,国分恭,1:34.6,1.3/4,6,10.6,34.3,栗東河嶋,450(-4)
9,4,4,ステラバルセロナ,牝5,53.0,吉田隼,1:34.6,クビ,11,66.2,33.4,美浦菊川,422(-10)
10,7,11,ヒロノゴウカイ,牡6,51.0,古川奈,1:34.7,クビ,12,256.6,33.7,美浦蛯名利,498(+2)
11,2,2,ラッジオ,牝5,52.0,柴田裕,1:34.8,3/4,10,42.6,33.5,美浦大竹,484(0)
12,5,6,クスクス,牝4,53.0,池添,1:35.2,2.1/2,8,20.7,34.9,栗東松下,490(-2)
13,3,3,ラーテル,セ5,50.0,森田,1:35.3,クビ,13,325.2,34.2,美浦南田,468(-2)
