着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,ウルフ,牡2,55.0,☆松本,1:55.7,,1,2.8,37.9,栗東渡辺,498(0)
2,7,10,ベルソテイラ,牝2,55.0,富田,1:56.2,3,2,3.2,38.7,栗東西村,498(0)
3,4,5,フィサブロス,牡2,56.0,斎藤,1:57.8,10,3,6.5,39.2,栗東橋口,464(0)
4,5,6,テイエムテンジン,牡2,56.0,国分優,1:58.0,1.1/4,9,26.1,39.0,栗東小椋,468(0)
5,7,11,トーセンブリラーレ,牡2,54.0,△長浜,1:58.5,3,7,20.5,39.9,美浦小笠,506(0)
6,5,7,ミニュイ,牡2,56.0,黛,1:58.7,1.1/2,5,17.8,39.6,栗東秋山,488(0)
7,3,3,トコトコクマチ,牡2,56.0,国分恭,1:59.3,3.1/2,6,19.2,40.7,栗東岡田,492(0)
8,2,2,ヒロノフウジン,牡2,53.0,▲川端,2:00.0,4,12,90.1,40.8,栗東宮本,504(0)
9,8,13,テーオーモナーク,牡2,56.0,小沢,2:00.6,3.1/2,4,7.3,42.8,栗東奥村豊,520(0)
10,1,1,オルビスケリー,牝2,55.0,小崎,2:01.8,7,11,51.6,40.6,栗東東田,488(0)
11,6,9,フウリンカザン,牡2,56.0,中井,2:02.3,2.1/2,8,20.7,44.7,栗東前川,496(0)
12,6,8,タイムトゥパーティ,牝2,53.0,◇今村,2:02.8,3.1/2,10,35.8,44.5,栗東茶木,464(0)
13,8,12,テクノラッシュ,牡2,53.0,▲和田陽,2:07.5,大,13,140.9,40.1,栗東宮本,516(0)
