着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,4,テーオーエルビス,牡3,56.0,鮫島駿,1:08.6,,1,3.2,34.8,栗東高柳大,526(+16)
2,8,16,ヤマニンチェルキ,牡3,58.0,岩田望,1:09.5,5,2,4.9,36.0,栗東中村,536(+11)
3,7,13,エコロアゼル,牡3,56.0,団野,1:09.7,1,6,15.0,36.7,栗東森秀,534(+12)
4,5,9,ガビーズシスター,牝4,56.0,吉田隼,1:09.8,3/4,3,6.2,36.4,美浦森一,468(0)
5,8,15,ニットウバジル,牡5,57.0,吉田豊,1:09.9,クビ,11,53.0,36.1,美浦高橋文,512(+2)
6,3,5,サンライズアムール,牡6,58.0,北村宏,1:10.1,1,9,19.9,36.9,栗東小林,520(0)
7,3,6,ポッドベイダー,牡3,56.0,荻野極,1:10.1,ハナ,5,8.6,36.4,美浦上原佑,508(+20)
8,6,11,チカッパ,牡4,58.0,横山典,1:10.2,1/2,8,18.4,35.8,栗東中竹,518(+14)
9,7,14,ジャスパーゴールド,セ7,57.0,菅原明,1:10.3,1/2,15,178.0,37.1,栗東森秀,466(+6)
10,4,8,クロジシジョー,牡6,57.0,戸崎圭,1:10.5,1.1/4,4,7.7,35.9,栗東岡田,458(+10)
11,5,10,タガノミスト,牝4,55.0,佐々木,1:10.5,ハナ,10,23.6,37.6,栗東渡辺,490(+2)
12,4,7,キャンディドライヴ,牡6,57.0,落合玄,1:10.8,2,14,156.5,36.1,地方小野望,492(-10)
13,2,3,スターペスカオリ,牝5,55.0,長岡,1:10.8,ハナ,16,292.4,36.8,栗東石橋,460(-2)
14,1,2,エートラックス,牡4,58.0,内田博,1:10.8,ハナ,13,95.8,37.3,栗東宮本,516(-4)
15,1,1,ドンアミティエ,牡5,57.0,丹内,1:11.0,1,7,15.4,37.8,栗東今野,502(-3)
16,6,12,カルチャーデイ,牝4,55.0,柴田善,1:11.8,5,12,60.8,38.9,栗東四位,444(+2)
