馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,クレパスキュラー,牡2,ルメー,美浦・栗田,逃げ,1.8,1,1,2歳新馬,35.2,478(+8),札幌,139,中19週,Y,,1,リオンディーズ,ディープインパクト,
2,2,ヒシアイラ,牡2,荻野極,栗東・池江,先行,3.9,2,1,2歳新馬,34.4,458(+4),京都,48,中6週,Y,,1,モーリス,ロックオブジブラルタル,
3,3,ニシノエースサマ,牡2,津村,美浦・鹿戸,先行,65.2,10,6,,34.9,492(+6),東京,20,中2週,Y,,3,スワーヴリチャード,Sidney's Candy,
4,4,バースデイフライト,牝2,プーシ,栗東・新谷,差し,23.9,7,3,,34.7,456(+4),京都,20,中2週,Y,,3,コントレイル,War Front,
5,5,ピースサイン,牡2,戸崎圭,美浦・浅利,先行,11.8,4,1,2歳新馬,36.9,450(-4),東京,41,中5週,Y,,1,ポエティックフレア,Le Havre,
6,5,エレクトロン B,牡2,嶋田,美浦・佐藤吉,差し,507.2,12,8,2歳未勝利,34.6,434(0),東京,20,中2週,Y,,3,ビーチパトロール,マツリダゴッホ,
7,6,フジガイフウ,牡2,菅原明,美浦・岩戸,差し,13.0,5,1,2歳未勝利,33.6,498(+6),東京,62,中8週,Y,,3,ミスターメロディ,サクラプレジデント,
8,6,リゾートアイランド,牡2,マーカ,美浦・上原佑,先行,10.5,3,1,2歳未勝利,34.4,506(+2),東京,55,中7週,Y,,2,イスラボニータ,Frankel,
9,7,サンブライト,牝2,横山武,美浦・鈴木慎,先行,29.6,8,1,2歳新馬,34.3,462(0),中山,91,中12週,Y,,1,ロードカナロア,Shamardal,
10,7,グロリアスマーチ,牡2,佐々木,栗東・須貝,差し,13.7,6,3,,34.0,504(0),東京,20,中2週,Y,,3,モーリス,アグネスタキオン,
11,8,マイネルシンベリン,牡2,丹内,美浦・武市,,33.4,9,5,,35.1,442(-6),東京,63,中8週,Y,,3,リオンディーズ,Sinndar,
12,8,ゴールデンコマンチ,牡2,福原杏,地方・水野貴,差し,456.3,11,1,2歳四,40.4,468(-5),浦和,22,中2週,,,0,ダンスディレクター,Bernardini,
