馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,グッドピース,牡2,西村淳,栗東・高野,先行,92.2,10,6,,35.9,458(-8),京都,36,中4週,Y,,2,Kingman,Medaglia d'Oro,
2,2,ホワイトオーキッド,牝2,北村友,栗東・藤原,先行,124.7,11,1,2歳新馬,34.5,428(+6),阪神,85,中11週,Y,,1,キズナ,クロフネ,
3,3,エコロアルバ,牡2,松山,美浦・田村,差し,4.9,3,1,,33.2,474(+2),東京,71,中9週,Y,,2,モズアスコット,フレンチデピュティ,
4,3,コスモレッド,牝2,藤岡佑,栗東・北出,差し,221.4,13,1,2歳新馬,34.5,444(-8),京都,43,中5週,Y,,1,カリフォルニアクローム,ドゥラメンテ,
5,4,ストームサンダー,牡2,岩田康,栗東・安達,差し,240.7,14,12,,34.8,460(+2),東京,27,中3週,Y,,3,ヘンリーバローズ,キングカメハメハ,
6,4,タガノアラリア,牡2,ジェル,栗東・西園翔,差し,50.7,8,1,,33.5,452(+8),京都,29,中3週,Y,,3,ミスターメロディ,ディープインパクト,
7,5,コルテオソレイユ,牡2,川田,栗東・佐藤悠,差し,22.2,6,2,,33.5,458(+2),東京,21,中2週,Y,,3,ウインブライト,トーセンラー,
8,5,カヴァレリッツォ,牡2,Ｃデム,栗東・吉岡,差し,3.6,2,2,,34.3,482(+4),京都,36,中4週,Y,,2,サートゥルナーリア,ハーツクライ,
9,6,スペルーチェ,牡2,三浦,美浦・宮田,差し,38.6,7,1,2歳未勝利,33.7,456(-4),東京,36,中4週,Y,,2,レイデオロ,アグネスタキオン,
10,6,ダイヤモンドノット,牡2,ルメー,栗東・福永,先行,8.3,5,1,,33.6,472(+4),東京,43,中5週,Y,,3,ブリックスアンドモルタル,ディープインパクト,
11,7,カクウチ,牡2,岩田望,栗東・小崎,,82.9,9,1,2歳未勝利,34.9,452(+4),阪神,105,中14週,Y,,3,アドマイヤマーズ,フレンチデピュティ,
12,7,アドマイヤクワッズ,牡2,坂井,栗東・友道,差し,3.1,1,1,,34.0,478(0),京都,36,中4週,Y,,2,リアルスティール,Zoffany,
13,8,リアライズシリウス,牡2,津村,美浦・手塚久,先行,4.9,4,1,,33.4,530(+12),新潟,119,中16週,Y,,2,ポエティックフレア,ステイゴールド,
14,8,レッドリガーレ B,牡2,吉村,栗東・斉藤崇,差し,206.0,12,1,2歳新馬,34.6,462(-8),京都,22,中2週,Y,,1,モーリス,ディープインパクト,
