馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,メイショウソウタ,牡4,鮫島駿,栗東・岡田,先行,23.9,9,13,,41.3,530(+4),中京,118,中16週,Y,,3,ドレフォン,マンハッタンカフェ,
2,1,リトルハピ,牡4,高杉,栗東・大久保,先行,4.6,3,6,,38.0,474(+14),阪神,188,中26週,Y,Y,3,キズナ,キングカメハメハ,
3,2,ハナウマビーチ,牡3,ルメー,栗東・西園翔,先行,4.2,2,1,,37.8,520(+2),京都,75,中10週,Y,,3,ゴールドドリーム,スキャターザゴールド,
4,2,ダブルジョーク,牡5,小沢,栗東・小林,差し,14.7,6,4,,36.7,578(+4),阪神,90,中12週,Y,,3,Practical Joke,Rahy,
5,3,メイショウポペット,牝5,酒井,栗東・角田,差し,237.4,14,8,,36.8,504(+6),京都,70,中9週,Y,,3,ヴィクトワールピサ,Uncle Mo,
6,3,ベルウェザー,牡4,吉村,栗東・茶木,差し,34.6,10,6,,37.3,492(+2),京都,27,中3週,Y,,3,ニューイヤーズデイ,ディープインパクト,
7,4,ツキノアカリ,牝3,和田竜,栗東・牧田,差し,69.4,12,1,3歳以上2勝クラス,36.4,454(-6),京都,48,中6週,Y,,2,エピファネイア,キングカメハメハ,
8,4,ワイドブリザード B,セ4,武豊,栗東・佐藤悠,,10.8,5,15,,41.4,448(-2),京都,27,中3週,Y,,3,カリフォルニアクローム,ディープインパクト,
9,5,クロニクル B,セ6,国分恭,栗東・田中克,先行,14.7,7,2,,37.3,526(+8),阪神,90,中12週,Y,,3,ハーツクライ,Seeking the Gold,
10,5,ポルポラジール,牡4,田山,栗東・新谷,先行,23.7,8,1,,36.6,522(-2),阪神,14,中1週,Y,,3,シニスターミニスター,ルーラーシップ,
11,6,カネトシブルーム,牡6,田口,栗東・大橋,差し,280.2,16,15,,41.5,522(+8),阪神,188,中26週,Y,Y,3,シニスターミニスター,クロフネ,
12,6,クァンタムウェーブ,牡3,Ｃデム,栗東・松永幹,先行,3.6,1,13,,39.4,524(-12),京都,41,中5週,Y,,2,ナダル,Smoke Glacken,
13,7,グランドセントラル,牡4,秋山稔,栗東・北出,先行,279.4,15,1,東京カップ,37.6,466(-7),盛岡,123,中17週,,,2,シャンハイボビー,タイキシャトル,
14,7,レッドプロフェシー,牡5,松若,栗東・大久保,差し,50.6,11,9,,38.5,486(0),阪神,13,中1週,Y,,3,ルーラーシップ,マンハッタンカフェ,
15,8,ロードマゼラン,セ6,ジェル,栗東・奥村豊,先行,178.1,13,7,,38.4,488(0),阪神,13,中1週,Y,,3,ルーラーシップ,Giant's Causeway,
16,8,シンビリーブ,牡3,団野,栗東・森秀,先行,7.3,4,5,,37.6,526(+4),京都,41,中5週,Y,,2,Constitution,Footstepsinthesand,
