馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,メイショウバルク,牡3,松山,栗東・安達,先行,5.4,2,3,2歳未勝利,37.1,490(+2),阪神,14,中1週,Y,,2,ディスクリートキャット,メイショウサムソン,
2,1,オプティモ,牡3,吉村,栗東・緒方,先行,15.9,8,5,2歳未勝利,35.3,490(+2),中京,22,中2週,Y,,2,タワーオブロンドン,フサイチコンコルド,
3,2,ムスクレスト,牡3,武豊,栗東・安田,差し,13.0,7,4,2歳未勝利,34.2,466(+6),中京,22,中2週,Y,,3,コントレイル,Temple City,
4,2,アニマレイ,牡3,川田,栗東・須貝,先行,3.1,1,3,2歳未勝利,35.5,482(+8),札幌,133,中18週,Y,,3,ニューイヤーズデイ,ダイワメジャー,
5,3,ルーセントムーン,牡3,斎藤,栗東・高橋一,差し,72.0,11,7,2歳未勝利,35.8,482(+18),札幌,133,中18週,Y,,3,インディチャンプ,Mr. Greeley,
6,3,ユウトザケンケン,牡3,小崎,栗東・小崎,差し,325.1,16,11,2歳未勝利,38.3,484(+16),京都,91,中12週,Y,,3,アメリカンペイトリオット,アドマイヤムーン,
7,4,セレブトーチ,牝3,西村淳,栗東・坂口,差し,90.4,12,7,2歳新馬,36.0,500(-6),中京,127,中17週,Y,,1,ダノンスマッシュ,Sea The Stars,
8,4,トーアウィリアム B,牡3,森田,栗東・牧田,,72.0,10,6,2歳未勝利,39.2,486(+10),阪神,105,中14週,Y,,2,アポロキングダム,ゴールドアリュール,
9,5,ジャーナーリア,牡3,和田竜,栗東・本田,差し,9.6,6,4,2歳未勝利,37.7,520(+2),阪神,21,中2週,Y,,2,サートゥルナーリア,ダイワメジャー,
10,5,グレートアゲイン,牡3,鮫島駿,栗東・牧浦,追込,298.6,15,13,2歳新馬,38.3,480(+22),京都,78,中10週,Y,,1,バンドワゴン,ネオユニヴァース,
11,6,ハードシングス,牡3,松若,栗東・小崎,差し,5.8,3,2,2歳未勝利,37.8,462(+2),阪神,28,中3週,Y,,3,ゴールドドリーム,Gone West,
12,6,サンタカリス,牝3,田口,栗東・秋山,差し,36.9,9,5,2歳未勝利,37.8,440(-2),阪神,22,中2週,Y,,3,マテラスカイ,アグネスタキオン,
13,7,モズプリフォール,牡3,坂井,栗東・矢作,先行,7.5,4,4,2歳未勝利,39.4,504(-12),阪神,15,中1週,Y,,3,モズアスコット,アグネスデジタル,
14,7,サマーブリザード,牡3,西塚,栗東・吉田,差し,97.3,13,4,2歳未勝利,38.5,458(+6),京都,83,中11週,Y,,2,ゴールドドリーム,ストーミングホーム,
15,8,フリッシュ,牡3,藤懸,栗東・平田,差し,142.8,14,14,2歳未勝利,42.9,492(0),新潟,78,中10週,Y,,3,パイロ,ヘニーヒューズ,
16,8,ココラッシー,牡3,ハマー,栗東・西園翔,差し,9.2,5,3,2歳未勝利,37.0,440(0),阪神,21,中2週,Y,,3,ゴールドドリーム,ドリームジャーニー,
