馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,インディゴブラック,セ7,小坂,栗東・奥村豊,,2.9,2,3,,13.3,524(+8),東京,56,中7週,Y,,3,キタサンブラック,Bernardini,
2,2,レッドバロッサ,セ7,小牧加,栗東・佐藤悠,差し,2.6,1,4,,13.7,518(+2),京都,63,中8週,Y,,3,ドレフォン,ディープインパクト,
3,3,ヴィンテージボンド,牡7,難波,栗東・西園正,先行,13.6,4,9,,13.7,496(+8),中山,35,中4週,Y,,3,キズナ,ホワイトマズル,
4,4,ホウオウプレシャス,牡6,水沼,美浦・天間,先行,13.7,5,1,障害3歳以上未勝利,13.6,498(+8),京都,84,中11週,Y,,3,イスラボニータ,フレンチデピュティ,
5,5,シホノスペランツァ,牡7,高田,栗東・寺島,先行,4.8,3,2,,13.3,480(+2),福島,49,中6週,Y,,3,ブラックタイド,シンボリクリスエス,
6,6,ヴラディア,牡7,石神深,美浦・小西,先行,126.6,11,12,,14.0,484(0),阪神,21,中2週,Y,,3,ラブリーデイ,マーベラスサンデー,
7,6,ウン,牡7,森一,栗東・吉田,先行,28.3,8,8,,13.5,504(+12),中山,294,中41週,Y,Y,3,キタサンブラック,Malibu Moon,
8,7,ジオフロント,牡8,鷲頭,栗東・清水久,先行,17.9,6,7,,13.8,488(+2),阪神,21,中2週,Y,,3,ハーツクライ,キングカメハメハ,
9,7,フェーングロッテン,セ7,小野寺,栗東・宮本,先行,24.0,7,1,障害3歳以上未勝利,13.8,470(0),中山,118,中16週,Y,,3,ブラックタイド,キングヘイロー,
10,8,フームスムート,牡9,上野,美浦・水野,逃げ,30.7,9,,,0.0,540(-4),中山,35,中4週,Y,,3,トゥザグローリー,ワイルドラッシュ,
11,8,ダイシンクローバー,セ1,草野,美浦・戸田,先行,120.2,10,11,,13.7,492(-12),東京,210,中29週,Y,Y,3,キンシャサノキセキ,Fusaichi Pegasus,
