着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,カゼノランナー,牡5,57.0,西村淳,1:53.1,,8,14.3,37.7,栗東松永幹,536(0)
2,4,7,ヴァルツァーシャル,牡7,60.0,菅原明,1:53.2,1,6,14.0,37.3,美浦高木,512(+2)
3,8,15,リチュアル,セ7,57.0,荻野極,1:53.2,ハナ,7,14.3,38.1,栗東田中克,512(-2)
4,5,10,ハギノサステナブル,牡6,57.0,横山武,1:53.4,1.1/4,2,4.3,37.7,栗東高野,480(+4)
5,7,13,ハビレ,牡5,57.0,ルメー,1:53.5,1/2,3,6.1,38.1,美浦武井,520(+12)
6,3,6,ミスティックロア,牡6,57.0,佐々木,1:53.6,アタマ,9,16.4,37.7,栗東矢作,546(+14)
7,4,8,ポッドロゴ,牡5,58.0,長岡,1:53.9,2,4,8.7,38.3,栗東西園正,478(0)
8,1,2,サンマルパトロール,牡6,57.0,石橋脩,1:54.1,3/4,16,338.1,37.9,栗東大橋,490(+6)
9,6,12,レガーロデルシエロ,牡5,57.0,戸崎圭,1:54.2,1/2,10,18.3,38.6,美浦栗田,518(+2)
10,3,5,クラウンシエンタ,牡5,57.0,三浦,1:54.2,アタマ,5,12.5,38.5,美浦水野,504(+2)
11,5,9,バスタードサフラン,牝5,55.0,酒井,1:54.4,1.1/2,11,20.4,39.3,栗東渡辺,474(-7)
12,7,14,テーオーグランビル,牡6,57.0,横山和,1:54.6,3/4,1,3.8,39.5,栗東上村,502(-2)
13,2,4,ヒューゴ,牡6,57.0,丹内,1:54.9,2,15,305.2,38.9,美浦加藤征,452(-4)
14,8,16,ダノンザボルケーノ,牡5,57.0,菊沢,1:54.9,クビ,12,82.3,38.7,美浦菊沢,480(0)
15,1,1,ラインオブソウル,牡7,57.0,石川,1:55.0,クビ,13,121.9,38.8,栗東東田,520(-10)
16,6,11,フタイテンロック,牡7,57.0,丸田,1:55.3,1.1/2,14,181.2,39.2,美浦佐藤吉,510(+20)
