馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,レオアジャイル,牝3,横山典,美浦・杉浦,先行,36.0,11,5,,33.4,468(-4),中山,29,中3週,Y,,2,ダノンスマッシュ,ステイゴールド,
2,1,ピエドゥラパン,牝3,荻野極,美浦・千葉,差し,3.0,1,1,2歳未勝利,33.8,462(0),東京,49,中6週,Y,,2,エピファネイア,ロードカナロア,
3,2,トワニ,牝3,菅原明,美浦・蛯名正,差し,17.4,7,3,,33.0,416(0),東京,64,中8週,Y,,3,リオンディーズ,ウォーエンブレム,
4,2,ビッグカレンルーフ,牝3,松岡,美浦・堀内,差し,30.8,10,4,,37.3,440(0),門別,73,中9週,,,1,アメリカンペイトリオット,フジキセキ,
5,3,エゴンウレア,牝3,大野,美浦・小手川,差し,157.7,16,1,2歳新馬,34.2,430(+4),東京,77,中10週,Y,,1,ミスチヴィアスアレックス,ステイゴールド,
6,3,トラスコンガーデン,牝3,吉田豊,美浦・竹内,,146.6,15,7,2歳1勝クラス,33.9,450(+8),東京,84,中11週,Y,,3,ダノンスマッシュ,Bernardini,
7,4,ノーザンタイタン,牝3,田辺,美浦・中舘,,11.0,5,1,2歳新馬,34.7,446(+6),東京,90,中12週,Y,,1,モーリス,ディープインパクト,
8,4,リュクスパトロール,牝3,佐々木,美浦・加藤士,,76.5,14,1,2歳新馬,35.0,418(-2),中山,22,中2週,Y,,1,ビーチパトロール,ジャングルポケット,
9,5,サンアントワーヌ,牝3,戸崎圭,美浦・鹿戸,差し,5.7,3,1,2歳1勝クラス,32.7,464(+2),東京,84,中11週,Y,,3,ドレフォン,ハービンジャー,
10,5,モルニケ,牝3,丹内,美浦・金成,差し,58.5,13,1,2歳未勝利,33.6,460(+4),東京,71,中9週,Y,,3,インディチャンプ,ロックオブジブラルタル,
11,6,ハーディジェナー,牝3,上里,美浦・西田,差し,38.3,12,1,2歳未勝利,35.6,414(-14),福島,64,中8週,Y,,2,シルバーステート,Compton Place,
12,6,ギリーズボール,牝3,ルメー,美浦・手塚久,差し,4.2,2,1,2歳新馬,34.0,424(-4),中山,106,中14週,Y,,1,エピファネイア,フジキセキ,
13,7,ヴィスコンテッサ,牝3,石川,栗東・松永幹,追込,30.3,9,1,2歳未勝利,34.5,446(+6),京都,50,中6週,Y,,2,シルバーステート,オルフェーヴル,
14,7,ヴァリスマリネリス,牝3,横山武,美浦・中舘,差し,14.2,6,1,2歳新馬,34.2,422(-4),東京,77,中10週,Y,,1,アドマイヤマーズ,Dubawi,
15,8,ブラックチャリス,牝3,津村,栗東・武幸,,11.0,4,4,,33.8,462(+10),京都,71,中9週,Y,,3,キタサンブラック,トゥザワールド,
16,8,マカレイ,牝3,三浦,美浦・上原博,差し,21.4,8,1,2歳未勝利,33.8,486(-4),東京,63,中8週,Y,,2,キズナ,キングカメハメハ,
