着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,16,エセルフリーダ,牝5,55.0,津村,1:59.2,,2,4.5,34.4,美浦武藤,488(+2)
2,5,10,ショウナンラピダス,牡5,57.0,荻野極,1:59.2,クビ,4,6.8,34.6,美浦国枝,500(-2)
3,2,4,フレーヴァード,牡6,55.0,横山和,1:59.2,クビ,8,22.8,33.9,美浦大竹,454(+10)
4,7,14,ガジュノリ,牝5,54.0,木幡巧,1:59.3,1/2,12,57.2,34.4,美浦尾形,494(+2)
5,8,18,アマイ,牝6,54.0,原,1:59.3,ハナ,13,72.8,34.9,美浦伊藤大,474(+2)
6,3,6,マイネルブリックス,牡5,54.0,松岡,1:59.5,1.1/4,15,137.8,34.5,美浦黒岩,480(-4)
7,5,9,スパークリシャール,セ5,55.0,吉田豊,1:59.5,アタマ,11,35.6,34.0,美浦小島,490(+2)
8,1,1,マイネルニコラス,牡7,54.0,柴田大,1:59.6,クビ,14,111.3,34.9,美浦畠山,522(+12)
9,6,11,ソリダリティ,牡7,55.0,菅原明,1:59.6,ハナ,10,35.1,33.8,栗東西園翔,514(-2)
10,4,7,シャドウメテオ,牝4,54.0,戸崎圭,1:59.6,クビ,1,2.9,34.9,美浦金成,466(+6)
11,2,3,ミカッテヨンデイイ,牝6,52.0,小林脩,1:59.6,アタマ,6,21.6,34.6,美浦堀内,428(+2)
12,3,5,ロジマンボ,牡7,52.0,江田照,1:59.7,クビ,18,304.4,34.1,美浦古賀,500(+10)
13,1,2,タイキラフター,牡6,55.0,三浦,1:59.8,3/4,5,9.4,34.5,美浦大竹,536(+12)
14,4,8,ドットクルー,牡6,55.0,キング,1:59.9,3/4,3,6.7,34.4,栗東笹田,476(+4)
15,6,12,コスモフロイデ,牡7,53.0,原田和,2:00.0,クビ,17,272.7,34.9,美浦天間,476(+2)
16,7,15,ホウオウムサシ,牡6,56.0,佐々木,2:00.1,1/2,7,22.7,34.8,美浦蛯名正,454(-2)
17,8,17,カヨウネンカ,牝7,52.0,長浜,2:00.1,アタマ,16,140.7,35.0,美浦斎藤誠,468(-2)
18,7,13,ルシフェル,牝5,54.0,大野,2:00.4,1.3/4,9,27.6,35.7,栗東西園翔,508(-4)
