馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,クランフォード,牝5,吉村,栗東・杉山晴,先行,12.5,7,7,,33.4,466(-2),阪神,42,中5週,Y,,3,ブリックスアンドモルタル,キングカメハメハ,
2,2,スズハローム,牡6,藤懸,栗東・牧田,差し,82.1,10,11,,34.5,470(+16),東京,56,中7週,Y,,3,サトノダイヤモンド,ローレルゲレイロ,
3,3,バレエマスター,牡7,国分優,栗東・梅田,差し,142.6,13,11,,34.6,492(+20),中山,34,中4週,Y,,3,スピルバーグ,スウェプトオーヴァーボード,
4,3,マイネルチケット,牡4,横山武,栗東・宮,差し,3.3,2,1,,33.1,482(+8),東京,70,中9週,Y,,3,ダノンバラード,マツリダゴッホ,
5,4,レイベリング,牡6,浜中,美浦・鹿戸,先行,106.5,12,14,,34.5,488(-2),東京,56,中7週,Y,,3,Frankel,Docksider,
6,4,ゾンニッヒ,牡8,ハマー,栗東・池江,差し,47.5,9,6,,33.5,484(0),中山,12,中1週,Y,,3,ラブリーデイ,ディープインパクト,
7,5,スカイロケット,牡6,岩田望,栗東・須貝,差し,96.0,11,13,,33.9,446(+12),東京,69,中9週,Y,,3,ジャスタウェイ,Royal Applause,
8,5,シヴァース,牡5,川田,栗東・友道,先行,3.2,1,4,,32.7,462(0),阪神,42,中5週,Y,,3,モーリス,ディープインパクト,
9,6,ハクサンバード,牡6,岩田康,栗東・高橋一,,266.3,14,12,,35.4,504(+12),中山,12,中1週,Y,,3,ハクサンムーン,サマーバード,
10,6,タガノエルピーダ,牝5,高杉,栗東・斉藤崇,先行,8.5,4,5,,33.9,486(+6),京都,83,中11週,Y,,3,キズナ,キングカメハメハ,
11,7,ビップデイジー,牝4,西村淳,栗東・松下,差し,11.8,6,10,,34.4,450(+16),中山,35,中4週,Y,,3,サトノダイヤモンド,キングカメハメハ,
12,7,クルゼイロドスル,牡6,武豊,栗東・高橋忠,差し,9.0,5,7,,33.3,504(-4),京都,20,中2週,Y,,3,ファインニードル,アルカセット,
13,8,セフィロ,牝6,池添,美浦・菊沢,差し,21.0,8,8,,32.9,468(0),東京,56,中7週,Y,,3,イスラボニータ,ハーツクライ,
14,8,ニホンピロキーフ,牡6,田口,栗東・大橋,先行,6.7,3,5,,33.9,494(+8),阪神,49,中6週,Y,,3,キタサンブラック,スウェプトオーヴァーボード,
