馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アウダーシア,牡3,ルメー,美浦・手塚久,差し,1.5,1,2,2歳未勝利,33.5,500(+6),東京,63,中8週,Y,,2,キズナ,ルーラーシップ,
2,1,マイネルグレート,牡3,荻野極,美浦・鹿戸,差し,32.2,8,11,2歳未勝利,38.4,468(+8),中山,49,中6週,Y,,2,ダノンバラード,Street Boss,
3,2,スミレノハナ,牝3,谷原,美浦・加藤和,差し,158.5,14,14,2歳新馬,42.1,448(-12),中山,36,中4週,Y,,1,ブラックタイド,サクラバクシンオー,
4,2,ナックホワイト,牝3,大野,美浦・杉浦,差し,8.9,3,5,3歳未勝利,36.2,480(+2),中山,21,中2週,Y,,3,ブリックスアンドモルタル,ステイゴールド,
5,3,スカイドリーマー,牝3,三浦,美浦・木村,差し,21.2,7,9,2歳新馬,34.4,436(-6),東京,111,中15週,Y,,1,コントレイル,Giant's Causeway,
6,3,フォンドルレール,牡3,田辺,美浦・戸田,差し,36.1,9,7,2歳未勝利,33.8,428(+6),東京,85,中11週,Y,,2,ルヴァンスレーヴ,Kitten's Joy,
7,4,スカイリッチ,牡3,菅原明,美浦・小笠,差し,15.5,6,6,2歳未勝利,35.1,430(+10),東京,99,中13週,Y,,2,ハービンジャー,ディープインパクト,
8,4,ダイユウアレグロ,牡3,岩田康,美浦・松永康,差し,13.8,5,8,2歳未勝利,34.7,528(+6),中山,43,中5週,Y,,3,レイデオロ,ハーツクライ,
9,5,カズシ,牡3,松山,美浦・高柳瑞,差し,13.6,4,3,3歳新馬,34.8,472(-2),中山,28,中3週,Y,,1,リアルスティール,サマーバード,
10,5,ミサダメキメル,牡3,遠藤,美浦・高橋文,追込,70.7,10,6,2歳未勝利,33.9,456(+8),東京,63,中8週,Y,,2,アメリカンペイトリオット,エピファネイア,
11,6,グリーンガーネット,牝3,木幡巧,美浦・牧,追込,98.9,13,10,2歳未勝利,34.2,466(+6),東京,78,中10週,Y,,3,ダノンプレミアム,ジャングルポケット,
12,6,アドマイヤフク,牝3,戸崎圭,美浦・加藤征,差し,8.4,2,3,2歳新馬,33.8,424(-4),東京,91,中12週,Y,,1,アドマイヤマーズ,アドマイヤムーン,
13,7,ソルプレーザ,牡3,武藤,美浦・菊川,追込,333.1,16,15,2歳未勝利,43.0,478(+2),福島,71,中9週,Y,,3,エイシンフラッシュ,オレハマッテルゼ,
14,7,オーケーグリット,牡3,石川,美浦・相沢,,81.7,11,12,2歳未勝利,35.3,462(-4),東京,78,中10週,Y,,3,ハービンジャー,フジキセキ,
15,8,ティブロン,牡3,長浜,美浦・矢嶋,差し,94.0,12,6,2歳未勝利,34.6,540(+2),東京,64,中8週,Y,,3,リオンディーズ,アドマイヤムーン,
16,8,マイネルアルゴー,牡3,,美浦・清水英,差し,237.7,15,13,2歳未勝利,43.5,438(-2),中京,49,中6週,Y,,3,スクリーンヒーロー,ゴールドシップ,
