着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,ドリームコア,牝3,55.0,ルメー,1:32.6,,2,3.4,33.8,美浦萩原,502(+8)
2,1,2,ジッピーチューン,牝3,55.0,北村友,1:32.9,1.1/2,11,31.0,33.8,美浦林,428(-2)
3,3,5,ヒズマスターピース,牝3,55.0,佐々木,1:33.1,1.1/4,7,17.7,34.5,美浦国枝,500(+12)
4,8,15,マスターソアラ,牝3,55.0,横山武,1:33.2,1/2,4,10.2,34.1,美浦蛯名正,482(+4)
5,7,14,モルニケ,牝3,55.0,田辺,1:33.5,1.3/4,9,27.7,34.1,美浦金成,460(0)
6,2,4,モートンアイランド,牝3,55.0,キング,1:33.5,アタマ,3,9.8,34.0,美浦手塚久,434(+4)
7,2,3,マルガ,牝3,55.0,武豊,1:33.7,1.1/4,5,13.3,34.2,栗東須貝,470(-8)
8,6,11,レディーゴール,牝3,55.0,菅原明,1:33.7,クビ,13,139.8,33.7,美浦斎藤誠,456(+6)
9,5,9,ギャラボーグ,牝3,55.0,川田,1:33.8,クビ,1,2.5,34.2,栗東杉山晴,500(0)
10,6,12,ザバルガド,牝3,55.0,長浜,1:34.0,1.1/4,15,251.3,34.1,美浦奥村武,448(+12)
11,4,8,ラヴノー,牝3,55.0,石橋脩,1:34.1,3/4,14,183.6,34.8,美浦林,406(-4)
12,8,16,タイムレスキス,牝3,55.0,石川,1:34.2,1,10,30.5,35.5,栗東吉村,470(0)
13,7,13,ゴバド,牝3,55.0,岩田康,1:34.3,クビ,8,26.0,34.4,美浦加藤征,430(-4)
14,5,10,ミツカネベネラ,牝3,55.0,津村,1:34.5,1.1/2,12,50.4,34.7,美浦鈴木伸,442(-2)
15,3,6,ニシノサリーナ,牝3,55.0,池添,1:34.6,クビ,6,15.8,35.6,栗東橋口,448(-2)
16,4,7,フェーダーローター,牝3,55.0,原,1:34.9,2,16,346.4,36.1,美浦天間,442(-2)
