着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,4,ソングオブザバード,牝3,55.0,鮫島駿,1:48.4,,2,4.3,35.2,栗東佐藤悠,464(0)
2,4,7,メイショウローゼ,牝3,55.0,藤懸,1:48.8,2,5,11.0,35.3,栗東本田,404(-2)
3,6,11,エコロラヴァー,牝3,55.0,西塚,1:49.0,1.1/4,4,6.7,35.5,栗東牧浦,460(-2)
4,7,14,インフィオラータ,牝3,55.0,丹内,1:49.3,1.3/4,1,4.0,36.3,栗東須貝,442(0)
5,5,9,アルビオン,牝3,51.0,★河原田,1:49.3,クビ,16,165.7,35.6,栗東笹田,458(-4)
6,4,8,ゴールデンテティス,牝3,55.0,加藤,1:49.4,クビ,13,121.5,35.9,栗東庄野,454(-18)
7,2,3,パノラマステージ,牝3,55.0,亀田,1:49.4,ハナ,7,12.3,36.0,栗東牧浦,450(-8)
8,8,16,ブライトエアリー,牝3,55.0,横山琉,1:49.5,1/2,3,5.1,36.2,美浦相沢,452(-6)
9,3,5,ベベペッパー,牝3,52.0,▲舟山,1:49.5,クビ,10,30.7,36.5,栗東東田,440(+6)
10,3,6,リリーボレア,牝3,52.0,▲小林美,1:49.6,3/4,8,24.1,36.2,栗東高橋一,400(0)
11,1,1,タガノラヴズワン,牝3,52.0,▲和田陽,1:49.9,1.1/2,11,58.0,36.0,栗東平田,434(-8)
12,1,2,アスコットダンス,牝3,55.0,丸山,1:49.9,クビ,6,12.0,36.8,栗東高橋康,424(+2)
13,5,10,タイセイスタナー,牝3,55.0,斎藤,1:49.9,クビ,9,25.5,37.2,美浦池上,466(-10)
14,6,12,リアルナイスガール,牝3,55.0,古川吉,1:50.5,3.1/2,14,124.3,36.6,栗東畑端,430(+2)
15,7,13,ヒーナシャム,牝3,55.0,小沢,1:50.5,アタマ,15,131.4,37.7,栗東橋口,418(-8)
16,8,15,トリプルハッピー,牝3,55.0,菊沢,1:51.8,8,12,82.0,37.3,栗東森田,414(0)
