馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ビダーヤ,牡5,坂井,栗東・矢作,差し,2.5,1,3,,35.9,500(+4),京都,63,中8週,Y,,3,リアルスティール,シングスピール,
2,2,ナムラフランク B,牡7,菱田,栗東・鈴木孝,先行,23.0,9,11,,37.1,502(-6),京都,32,中4週,Y,,3,ミッキーアイル,クロフネ,
3,3,トリリオンボーイ B,牡4,団野,美浦・武井,追込,36.2,10,10,,36.1,484(0),京都,63,中8週,Y,,3,マクフィ,ルーラーシップ,
4,4,キタノズエッジ,牡5,古川吉,栗東・畑端,差し,6.0,3,1,,35.4,544(0),京都,63,中8週,Y,,3,ジョーカプチーノ,キングカメハメハ,
5,4,マルモリスペシャル B,牡7,田口,栗東・大橋,差し,56.1,12,5,,36.2,546(0),阪神,20,中2週,Y,,3,バトルプラン,スペシャルウィーク,
6,5,フェルヴェンテ,牡6,岩田望,栗東・宮,差し,14.2,5,4,,36.0,484(-8),京都,63,中8週,Y,,3,ダノンバラード,Exceed And Excel,
7,5,ノーブルロジャー,牡5,石川,栗東・吉岡,差し,15.1,6,9,,35.8,500(-2),東京,27,中3週,Y,,3,パレスマリス,More Than Ready,
8,6,ヒルノドゴール,牡5,松山,栗東・北出,差し,16.3,7,1,,35.1,534(+6),京都,68,中9週,Y,,3,アニマルキングダム,ハーツクライ,
9,6,プロトポロス B,牡6,国分優,栗東・西村,先行,51.6,11,15,,38.8,492(0),中京,83,中11週,Y,,3,War Front,サンデーブレイク,
10,7,ポールセン,牡4,北村友,美浦・斎藤誠,,17.0,8,9,,37.7,486(-4),阪神,20,中2週,Y,,3,Into Mischief,Candy Ride,
11,7,ジャスティンアース,牡5,吉村,栗東・杉山晴,差し,5.5,2,5,,36.5,490(+8),京都,104,中14週,Y,,3,キズナ,Bodemeister,
12,8,ストレングス B,牡5,武豊,栗東・寺島,先行,7.6,4,1,,36.1,462(-10),東京,28,中3週,Y,,3,シニスターミニスター,ゴールドアリュール,
13,8,ダノンザボルケーノ,牡5,,美浦・菊沢,追込,79.9,13,14,,38.7,480(0),中山,62,中8週,Y,,3,キタサンブラック,アイルハヴアナザー,
