馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,グッドピース,牡3,西村淳,栗東・高野,先行,5.0,3,9,,33.9,462(+2),東京,43,中5週,Y,,3,Kingman,Medaglia d'Oro,,
2,2,ハッピーラッキー,牡3,丸田,美浦・武市,差し,18.8,7,1,2歳未勝利,33.8,462(+6),中京,99,中13週,Y,,3,ウインブライト,チチカステナンゴ,,
3,2,ホウオウヘッセン,牡3,荻野極,美浦・田島,先行,11.7,4,1,2歳未勝利,36.8,466(-2),中山,84,中11週,Y,,2,ウインブライト,ロージズインメイ,,
4,3,ハイヤーマーク,牡3,ルメー,美浦・手塚久,差し,4.1,2,3,,33.8,468(+2),中山,92,中12週,Y,,3,ブリックスアンドモルタル,ダノンシャンティ,,
5,3,シノン,牝3,桜井光,地方・八木正,差し,395.5,15,4,ガーネット,40.5,404(-11),川崎,39,中5週,,,0,レッドベルジュール,カジノドライヴ,,
6,4,フォトンゲイザー,牡3,木幡巧,美浦・牧,先行,168.4,12,15,3歳1勝クラス,34.5,434(-4),東京,29,中3週,Y,,3,アドマイヤマーズ,タイキシャトル,,
7,4,ロジケープ,牡3,丹内,美浦・尾形,先行,2.3,1,1,3歳未勝利,34.7,506(+6),小倉,21,中2週,Y,,3,ロジユニヴァース,ハーツクライ,,
8,5,コパノトーマス,牡3,,美浦・青木,先行,22.3,8,9,3歳1勝クラス,33.4,486(+4),中山,62,中8週,Y,,3,タニノフランケル,サウスヴィグラス,,
9,5,セイウンアインス,牝3,武藤,美浦・武藤,差し,307.0,14,15,3歳1勝クラス,40.6,446(-2),中山,63,中8週,Y,,3,フォーウィールドライブ,ベーカバド,,
10,6,フェーダーローター,牝3,津村,美浦・天間,先行,78.7,10,16,,36.1,440(-2),東京,29,中3週,Y,,3,ベンバトル,ステイゴールド,,
11,6,ロンドンオービタル,牝3,横山武,美浦・岩戸,先行,15.4,5,7,3歳1勝クラス,34.3,432(-10),中山,62,中8週,Y,,3,タワーオブロンドン,ディープインパクト,,
12,7,エムティリオ,牝3,石橋脩,美浦・小野,逃げ,293.8,13,10,,40.9,408(-22),門別,136,中18週,,,1,グレーターロンドン,エムオーウイナー,,
13,7,ジャスパールビー,牝3,笹川翼,栗東・森秀,,91.9,11,7,,34.8,440(+6),小倉,35,中4週,Y,,3,Leinster,Pioneerof the Nile,,
14,8,マーゴットミスト,牡3,古川奈,栗東・杉山佳,先行,16.4,6,1,3歳未勝利,35.3,534(-2),小倉,29,中3週,Y,,3,ビッグアーサー,スウェプトオーヴァーボード,,
15,8,ニルマーネル,牝3,吉田豊,美浦・小島,先行,27.0,9,1,2歳未勝利,35.2,400(+4),中山,91,中12週,Y,,3,モーリス,Rahy,,
