馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,フラムリンガム,セ5,北村友,美浦・柄崎,先行,53.9,12,9,,38.2,482(-8),中山,57,中7週,Y,,3,ダイワメジャー,フレンチデピュティ,
2,2,プレイサーゴールド,牡6,小沢,栗東・今野,差し,149.4,14,10,,38.5,498(0),東京,22,中2週,Y,,3,シニスターミニスター,クロフネ,
3,3,メイショウシナノ,牡6,富田,栗東・大橋,追込,20.3,6,3,,36.5,502(+8),小倉,22,中2週,Y,,3,サトノダイヤモンド,キングカメハメハ,
4,3,メイプルタピット,牡5,藤懸,栗東・梅田,差し,24.0,8,13,,37.0,518(+2),京都,50,中6週,Y,,3,ラニ,オルフェーヴル,
5,4,テスティモーネ,牡4,国分優,栗東・大根田,先行,2.2,1,16,,42.3,520(-2),阪神,91,中12週,Y,,3,ドレフォン,サウスヴィグラス,
6,4,ノットイナフ B,牡5,斎藤,栗東・浜田,先行,12.6,5,8,,38.7,482(-4),東京,22,中2週,Y,,3,マジェスティックウォリアー,マンハッタンカフェ,
7,5,ホルトバージ,牡5,川又,栗東・柴田,差し,26.6,10,11,,36.7,476(-6),小倉,14,中1週,Y,,3,キンシャサノキセキ,Zensational,
8,5,テーオーダグラス,牡5,田山,栗東・須貝,先行,21.1,7,15,,34.6,496(+8),東京,112,中15週,Y,,3,リアルスティール,ハービンジャー,
9,6,カネトシゴウト,牡5,田口,栗東・大橋,,8.8,4,9,,38.6,480(+8),京都,119,中16週,Y,,3,シニスターミニスター,キングカメハメハ,
10,6,メイショウオーロラ,牝6,太宰,栗東・本田,先行,25.8,9,6,,36.7,512(-6),京都,43,中5週,Y,,3,ホッコータルマエ,エンパイアメーカー,
11,7,タマモキャリコ,セ5,鮫島駿,栗東・宮地,先行,6.0,2,1,,38.2,424(0),阪神,98,中13週,Y,,3,シニスターミニスター,ネオユニヴァース,
12,7,ゴールドダイアー,牡4,,栗東・平田,差し,6.1,3,11,,37.3,492(-4),京都,50,中6週,Y,,3,ゴールドドリーム,New Approach,
13,8,グロバーテソーロ,牡5,菱田,美浦・高木,先行,60.5,13,12,,40.0,506(-10),東京,22,中2週,Y,,3,オルフェーヴル,カコイーシーズ,
14,8,ペイシャモノノフ B,牡6,酒井,栗東・畑端,先行,30.9,11,10,,37.7,478(-12),京都,50,中6週,Y,,3,ニシケンモノノフ,フリオーソ,
