着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,9,ダノンカゼルタ,セ4,55.0,▲舟山,2:01.4,,9,24.5,33.9,栗東寺島,492(-2)
2,3,5,ホウオウタイタン,牝4,53.0,▲田山,2:01.4,アタマ,2,4.1,33.2,栗東須貝,496(-2)
3,5,8,マドモアゼルアスク,牝4,56.0,西塚,2:01.5,3/4,4,6.3,33.9,栗東藤原,450(0)
4,6,10,エテルニータ,牡4,58.0,岩田康,2:01.6,1/2,1,3.5,34.3,美浦稲垣,488(0)
5,3,4,タマモランプ,牡5,58.0,池添,2:01.6,ハナ,3,5.8,34.1,栗東池添,452(-8)
6,8,15,マイネルアレス,牡4,58.0,斎藤,2:01.9,1.1/2,6,12.5,34.5,美浦相沢,464(+4)
7,4,6,ダイシンラー,牡4,58.0,丸山,2:01.9,ハナ,8,23.2,33.8,栗東梅田,496(-4)
8,7,13,クラウディアイ,牡4,58.0,小沢,2:01.9,クビ,5,7.4,34.1,栗東橋口,452(+4)
9,7,12,オーシンエス,牡4,58.0,高杉,2:01.9,アタマ,7,18.7,33.9,栗東宮,480(-14)
10,8,14,クラウドセイル,牡6,55.0,▲佐藤,2:02.1,1.1/4,10,47.8,34.1,美浦堀内,486(+6)
11,6,11,ウィアステーラ,牝4,56.0,丸田,2:02.3,1,13,170.3,34.1,美浦伊藤伸,450(+14)
12,4,7,シュードタキライト,牡4,58.0,田口,2:02.4,3/4,11,117.5,34.5,美浦秋本,504(+6)
13,2,3,ケアンズ,牡4,55.0,▲石神道,2:02.6,1.1/4,12,119.3,34.8,美浦秋本,454(-2)
14,2,2,リアルショット,牡4,58.0,中井,2:02.8,1.1/2,14,268.8,34.9,美浦加藤征,466(-4)
除外,1,1,タイキジパング,牡5,56.0,△柴田裕,,,,,,栗東谷,498(+4)
