着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,2,エコロエイト,牡5,58.0,田辺,1:10.6,,4,7.9,36.5,美浦田村,510(0)
2,4,7,ラファル,牡4,58.0,ルメー,1:10.9,1.3/4,2,3.0,35.4,栗東田中克,528(+4)
3,1,1,サトノガレオン,セ6,58.0,三浦,1:10.9,アタマ,5,14.6,36.3,美浦堀,516(-8)
4,3,5,ラストシャリナ,牡4,58.0,石川,1:11.3,2.1/2,6,17.6,36.1,美浦矢嶋,494(+6)
5,2,4,ショウナンハクウン,牡6,58.0,荻野極,1:11.4,1/2,3,7.7,36.5,美浦大竹,512(+2)
6,8,15,シュヴァルボヌール,牝4,56.0,川田,1:11.5,1/2,1,2.8,36.5,美浦加藤征,486(0)
7,2,3,アジアミッション,牡5,58.0,横山和,1:11.6,3/4,12,89.1,35.5,栗東緒方,520(-2)
8,6,11,イミュータブル,牡6,58.0,石橋脩,1:11.7,1/2,15,238.0,37.0,栗東浜田,478(-6)
9,7,14,ハッピーロンドン,牡6,58.0,菊沢,1:11.7,ハナ,9,29.0,36.5,美浦菊沢,488(-6)
10,5,10,メイショウコバト,牝6,56.0,柴田善,1:11.7,アタマ,13,108.0,36.0,美浦和田勇,472(+6)
11,6,12,テイエムタリスマ,牡5,58.0,松若,1:11.8,クビ,14,184.1,37.4,栗東高橋一,472(-2)
12,3,6,パルデンス,牡8,58.0,小崎,1:11.8,アタマ,11,60.9,35.9,美浦森一,512(+10)
13,7,13,ホワイトガーベラ,牡7,58.0,大野,1:12.0,1.1/4,16,247.7,36.3,美浦千葉,506(+6)
14,4,8,ロードマイライフ,牡5,58.0,佐々木,1:12.4,2.1/2,7,22.4,37.4,栗東佐藤悠,512(+6)
15,5,9,ネグレスコ,牝5,56.0,秋山稔,1:12.5,1/2,10,45.3,37.9,栗東柴田,486(-4)
16,8,16,クーデール,牝4,56.0,横山琉,1:13.6,7,8,26.2,39.4,栗東坂口,444(-4)
