馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,グレイテストソング,牡4,国分恭,美浦・小笠,差し,24.8,8,10,,37.6,438(-2),中山,78,中10週,Y,,3,モズアスコット,ハーツクライ,,
2,1,ラテラルシンキング,牡6,石川,美浦・黒岩,先行,90.2,13,12,,34.0,434(-10),東京,63,中8週,Y,,3,ハービンジャー,ディープインパクト,,
3,2,レッドラパルマ,セ7,柴田善,美浦・平岩,先行,57.5,12,16,,45.2,496(+2),東京,132,中18週,Y,,3,イスラボニータ,ストラヴィンスキー,,
4,2,クロースコンバット,牡7,,美浦・青木,先行,29.2,10,9,,38.1,496(0),小倉,57,中7週,Y,,3,キンシャサノキセキ,ワイルドラッシュ,,B
5,3,バリアントバイオ,牡6,小沢,栗東・今野,差し,144.6,16,17,,38.3,540(+2),小倉,35,中4週,Y,,3,トーセンジョーダン,アルデバランII,,
6,3,タイセイミッション,セ5,,美浦・伊藤圭,,11.8,4,1,,37.4,530(-2),小倉,42,中5週,Y,,3,キタサンブラック,ノヴェリスト,,B
7,4,ウィンドフォール,牡5,石橋脩,美浦・牧,,6.0,3,13,,43.2,486(-4),中山,29,中3週,Y,,3,パイロ,スウェプトオーヴァーボード,,
8,4,デルアヴァー,牡4,荻野極,栗東・松永幹,差し,3.2,2,8,,36.1,488(-6),京都,83,中11週,Y,,3,Frankel,Smart Strike,,
9,5,メイショウフジ,セ6,大野,美浦・和田勇,差し,52.8,11,14,,38.8,482(-16),中山,105,中14週,Y,,3,ホッコータルマエ,ダイワメジャー,,
10,5,オレデイイノカ,牡8,松岡,美浦・古賀慎,差し,121.4,15,15,,38.3,514(0),中山,78,中10週,Y,,3,サウスヴィグラス,ダイワメジャー,,
11,6,シゲルソロソロ,牝6,丹内,栗東・谷,追込,25.1,9,5,,35.7,474(-8),阪神,43,中5週,Y,,3,Runhappy,Distorted Humor,,B
12,6,ラオラシオン,セ5,横山琉,美浦・斎藤誠,差し,17.9,6,1,4歳以上2勝クラス,39.3,492(+4),中山,28,中3週,Y,,3,クリエイターII,ゼンノロブロイ,,B
13,7,ペイシャモノノフ,牡6,佐々木,栗東・畑端,,18.8,7,3,,38.4,472(-6),阪神,21,中2週,Y,,3,ニシケンモノノフ,フリオーソ,,B
14,7,タンゴバイラリン,セ5,菊沢,美浦・栗田,差し,13.8,5,15,,37.5,520(+8),京都,71,中9週,Y,,3,イスラボニータ,Smart Strike,,
15,8,トルーマンテソーロ,牡7,木幡巧,美浦・菊川,先行,114.0,14,15,,38.4,530(0),東京,50,中6週,Y,,3,トーセンジョーダン,ダイワメジャー,,
16,8,メリークリスマス,牡4,三浦,美浦・小手川,差し,3.0,1,1,4歳以上2勝クラス,38.0,498(-10),中山,36,中4週,Y,,3,ルヴァンスレーヴ,スペシャルウィーク,,
