着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,14,ジュタ,牡4,58.0,横山武,2:01.5,,2,5.1,34.8,栗東矢作,500(0)
2,1,1,シャドウメテオ,牝4,56.0,丹内,2:01.5,1/2,4,8.9,34.5,美浦金成,462(-4)
3,2,4,ヤマニンアドホック,牡5,58.0,石川,2:01.6,クビ,1,3.5,34.9,美浦辻,460(-2)
4,3,6,フクノブルーレイク,牡4,58.0,松岡,2:01.7,1/2,6,12.4,34.8,美浦竹内,458(+8)
5,6,11,ダンツファイター,牡4,58.0,佐々木,2:01.9,1,9,19.3,35.8,美浦蛯名正,556(-8)
6,6,12,ホウオウスーペリア,牡6,58.0,横山琉,2:01.9,ハナ,10,19.9,35.5,栗東吉岡,490(+4)
7,8,15,アマイ,牝6,56.0,原,2:01.9,クビ,13,56.3,35.8,美浦伊藤大,468(-2)
8,4,8,クルミナーレ,牡5,58.0,荻野極,2:01.9,クビ,3,6.0,35.0,栗東池江,508(-6)
9,7,13,トーアライデン,牡6,58.0,丸山,2:02.1,3/4,12,44.9,35.7,栗東河嶋,502(+2)
10,1,2,ルクスビッグスター,牡6,58.0,石橋脩,2:02.2,3/4,15,111.7,34.9,栗東清水久,482(-4)
11,2,3,ドゥカート,牡4,58.0,津村,2:02.2,クビ,11,22.5,35.0,美浦宮田,484(-4)
12,5,10,タイキラフター,牡6,58.0,大野,2:02.3,1/2,7,18.9,34.6,美浦大竹,536(+10)
13,3,5,スパークリシャール,セ5,58.0,柴田善,2:02.5,1,8,18.9,34.9,美浦小島,488(0)
14,4,7,フレーヴァード,牡6,58.0,横山和,2:02.7,1.1/2,5,10.7,35.3,美浦大竹,446(-8)
15,8,16,アルトゥーム,牡5,58.0,小沢,2:03.0,1.1/2,14,77.6,35.8,栗東藤岡健,430(+2)
16,5,9,マイネルニコラス,牡7,58.0,柴田大,2:03.2,1.1/2,16,166.9,35.8,美浦畠山,520(-2)
