馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,サンストックトン,牡7,高杉,美浦・堀内,差し,336.7,15,9,,34.0,466(-4),中山,35,中4週,Y,,3,ワールドエース,キングカメハメハ,
2,2,マテンロウレオ,牡7,横山典,栗東・昆,差し,66.7,10,4,,35.0,492(+4),中山,70,中9週,Y,,3,ハーツクライ,ブライアンズタイム,
3,2,セイウンハーデス B,牡7,,栗東・橋口,先行,64.9,9,12,,35.2,474(0),中山,35,中4週,Y,,3,シルバーステート,マンハッタンカフェ,
4,3,ダノンデサイル,牡5,坂井,栗東・安田,差し,3.9,2,3,,35.0,516(+2),中山,98,中13週,Y,,2,エピファネイア,Congrats,
5,3,ショウヘイ,牡4,川田,栗東・友道,先行,6.1,4,1,,35.1,476(+6),中山,70,中9週,Y,,3,サートゥルナーリア,オルフェーヴル,
6,4,メイショウタバル,牡5,武豊,栗東・石橋,,4.8,3,13,,36.7,500(-12),中山,98,中13週,Y,,3,ゴールドシップ,フレンチデピュティ,
7,4,エコロディノス,牡4,池添,栗東・大久保,先行,44.9,6,3,,34.0,478(-8),京都,49,中6週,Y,,3,キタサンブラック,ジェネラス,
8,5,エコロヴァルツ,牡5,浜中,栗東・牧浦,先行,45.4,7,3,,34.2,496(+4),中山,35,中4週,Y,,3,ブラックタイド,キングカメハメハ,
9,5,ヨーホーレイク,牡8,西村淳,栗東・友道,差し,68.0,11,7,,33.6,530(+2),京都,49,中6週,Y,,3,ディープインパクト,フレンチデピュティ,
10,6,ボルドグフーシュ,牡7,松山,栗東・宮本,差し,162.1,14,11,,34.9,516(+6),東京,147,中20週,Y,,3,スクリーンヒーロー,Layman,
11,6,デビットバローズ,セ7,岩田望,栗東・上村,先行,58.9,8,1,,33.9,502(-12),阪神,120,中16週,Y,,3,ロードカナロア,サンデーサイレンス,
12,7,レーベンスティール,牡6,ルメー,美浦・田中博,先行,9.9,5,1,,33.8,492(+8),中山,35,中4週,Y,,3,リアルスティール,トウカイテイオー,
13,7,ファウストラーゼン B,牡4,岩田康,栗東・須貝,差し,102.1,12,15,,38.5,454(-8),東京,43,中5週,Y,,3,モズアスコット,スペシャルウィーク,
14,8,タガノデュード,牡5,古川吉,栗東・宮,差し,113.2,13,1,,34.1,500(+2),小倉,42,中5週,Y,,3,ヤマカツエース,ハーツクライ,
15,8,クロワデュノール,牡4,北村友,栗東・斉藤崇,先行,2.5,1,4,,34.4,522(+10),東京,126,中17週,Y,,1,キタサンブラック,Cape Cross,
