馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ローズバラード,牝3,長浜,美浦・深山,,66.3,11,,,,398(0),,,,,,,ダノンバラード,グラスワンダー,,
2,1,キャッチミークライ,牝3,松若,栗東・牧田,,80.1,12,,,,404(0),,,,,,,エイシンフラッシュ,ハーツクライ,,
3,2,ダイシンレスター,牡3,杉原,美浦・戸田,逃げ,35.0,9,14,3歳未勝利,36.1,444(-8),東京,63,中8週,Y,,3,ダイシンサンダー,ケイムホーム,,
4,2,ミラクルスパート,牝3,上里,美浦・小野,先行,106.1,15,15,3歳未勝利,37.8,432(-2),小倉,63,中8週,Y,,3,タワーオブロンドン,アドマイヤムーン,,
5,3,タワーオブバベル,牡3,鷲頭,栗東・坂口,差し,19.1,6,8,3歳未勝利,39.8,512(+2),京都,77,中10週,Y,,2,タワーオブロンドン,Red Ransom,,
6,3,タイガーロード,牡3,西塚,栗東・大橋,先行,2.8,1,3,3歳未勝利,35.4,462(-6),阪神,14,中1週,Y,,3,フォーウィールドライブ,ストリートセンス,,
7,4,ニシノキンツバ,牡3,今村,美浦・小野,先行,94.3,13,18,3歳新馬,37.5,444(-10),小倉,76,中10週,Y,,1,セイウンコウセイ,アドマイヤマックス,,
8,4,ディサイドオンミー,牝3,遠藤,美浦・堀内,先行,7.3,3,15,3歳未勝利,35.3,410(-2),小倉,77,中10週,Y,,3,ベンバトル,グラスワンダー,,
9,5,ノーブルクロンヌ,牝3,和田陽,美浦・高柳瑞,差し,20.1,8,13,3歳未勝利,36.1,446(-4),小倉,70,中9週,Y,,3,フィエールマン,スウェプトオーヴァーボード,,
10,5,メイケイシャイン,牡3,石田,栗東・武英,差し,104.6,14,16,2歳未勝利,34.9,496(+34),中京,133,中18週,Y,,3,ミッキーアイル,ハービンジャー,,
11,6,マテンロウノア,牡3,斎藤,栗東・坂口,,20.0,7,,,,414(0),,,,,,,レイデオロ,ディープインパクト,,
12,6,トウカイツバキ,牝3,亀田,栗東・北出,差し,144.8,16,14,3歳未勝利,37.7,392(-16),京都,90,中12週,Y,,2,ブリックスアンドモルタル,ディープインパクト,,
13,7,ニシノタチアナ,牝3,石神道,美浦・清水英,差し,10.8,5,6,3歳未勝利,34.8,366(0),小倉,76,中10週,Y,,3,グレーターロンドン,ヴィクトワールピサ,,
14,7,エメラルドテソーロ,牝3,富田,美浦・牧,逃げ,64.3,10,11,2歳新馬,37.2,398(-8),中山,125,中17週,Y,,1,シルバーステート,ハーツクライ,,
15,8,マイネルユーゲント,牡3,丹内,美浦・加藤士,,3.4,2,16,3歳未勝利,36.8,448(+4),小倉,70,中9週,Y,,3,インディチャンプ,サクラバクシンオー,,
16,8,アイアムステキ,牝3,田山,美浦・奥平,差し,8.8,4,13,3歳未勝利,41.2,446(-4),中山,91,中12週,Y,,2,リオンディーズ,ディープインパクト,,
