馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,カヴァレリッツォ,牡3,レーン,栗東・吉岡,差し,6.1,3,1,,34.3,482(0),阪神,119,中16週,Y,,3,サートゥルナーリア,ハーツクライ,
2,1,サウンドムーブ,牡3,団野,栗東・斉藤崇,差し,86.5,17,4,,34.4,446(-8),中山,35,中4週,Y,,3,リアルスティール,スクリーンヒーロー,
3,2,サノノグレーター,牡3,田辺,美浦・尾形,差し,77.3,14,5,,34.2,458(+2),中山,35,中4週,Y,,3,グレーターロンドン,ジャングルポケット,
4,2,ロブチェン,牡3,松山,栗東・杉山晴,差し,4.0,1,3,,33.4,520(+2),東京,63,中8週,Y,,3,ワールドプレミア,Giant's Causeway,
5,3,アスクエジンバラ,牡3,岩田康,栗東・福永,差し,42.8,12,2,,34.3,458(0),中山,35,中4週,Y,,3,リオンディーズ,マンハッタンカフェ,
6,3,フォルテアンジェロ,牡3,荻野極,美浦・上原佑,,32.8,10,2,,34.9,450(0),中山,113,中15週,Y,,3,フィエールマン,Dark Angel,
7,4,ロードフィレール,牡3,武豊,栗東・吉岡,,79.6,15,2,,34.7,524(0),阪神,29,中3週,Y,,3,キズナ,オルフェーヴル,
8,4,マテンロウゲイル,牡3,横山和,栗東・野中,差し,10.8,5,1,,33.9,494(-8),阪神,29,中3週,Y,,3,エピファネイア,Candy Ride,
9,5,ライヒスアドラー,牡3,佐々木,美浦・上原佑,先行,23.4,9,2,,35.4,510(-2),中山,42,中5週,Y,,3,シスキン,ハーツクライ,
10,5,ラージアンサンブル,牡3,高杉,美浦・武井,差し,193.4,18,1,,34.5,470(-2),阪神,57,中7週,Y,,3,ベンバトル,ジャスタウェイ,
11,6,パントルナイーフ,牡3,ルメー,美浦・木村,差し,18.8,8,1,,32.9,510(-2),東京,146,中20週,Y,,3,キズナ,マクフィ,
12,6,グリーンエナジー,牡3,戸崎圭,美浦・上原佑,差し,4.5,2,1,,33.8,490(0),中山,91,中12週,Y,,3,スワーヴリチャード,シングスピール,
13,7,アクロフェイズ,牡3,西村淳,栗東・奥村豊,先行,81.7,16,3,,34.5,476(0),中山,35,中4週,Y,,3,ロードカナロア,ディープインパクト,
14,7,ゾロアストロ,牡3,岩田望,美浦・宮田,差し,35.6,11,1,,33.3,468(0),京都,68,中9週,Y,,3,モーリス,ディープインパクト,
15,7,リアライズシリウス,牡3,津村,美浦・手塚久,,6.2,4,1,,34.1,528(-2),東京,63,中8週,Y,,3,ポエティックフレア,ステイゴールド,
16,8,アルトラムス,牡3,横山武,栗東・野中,差し,50.2,13,1,,33.1,468(-6),阪神,22,中2週,Y,,3,イスラボニータ,スクリーンヒーロー,
17,8,アドマイヤクワッズ,牡3,坂井,栗東・友道,差し,17.4,7,3,,35.6,482(+2),中山,42,中5週,Y,,3,リアルスティール,Zoffany,
18,8,バステール,牡3,川田,栗東・斉藤崇,差し,17.0,6,1,,34.9,460(+4),中山,42,中5週,Y,,3,キタサンブラック,アルデバランII,
