着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,8,グラスベルグ,牝3,55.0,亀田,2:00.2,,3,5.7,36.0,栗東斉藤崇,420(0)
2,1,1,マコトアディントン,牡3,57.0,丹内,2:00.3,クビ,4,7.1,35.4,栗東前川,432(0)
3,8,16,エコロゼット,牡3,57.0,菊沢,2:00.4,3/4,13,60.4,36.0,美浦岩戸,442(0)
4,6,12,スマートエラン,牡3,55.0,△舟山,2:00.4,クビ,2,4.4,36.2,栗東池江,466(+14)
5,3,6,エクラドット,牡3,57.0,武藤,2:00.6,3/4,8,21.4,36.5,美浦西田,518(-4)
6,5,10,ウインシャリーフ,牡3,55.0,△長浜,2:00.7,1,12,59.7,36.6,美浦金成,464(-18)
7,5,9,クラリノ,牝3,55.0,富田,2:00.9,1.1/4,9,25.7,36.1,栗東武英,426(0)
8,4,7,エグジスタンス,牡3,57.0,松若,2:01.0,クビ,1,4.2,37.1,栗東奥村豊,484(+4)
9,6,11,コスモアミュレット,牡3,54.0,▲上里,2:01.2,1,7,15.8,36.6,美浦加藤士,486(-2)
10,1,2,サクセスブルー,牡3,57.0,斎藤,2:01.3,1/2,6,10.3,36.0,美浦斎藤誠,422(+2)
11,7,13,クリムゾンバースト,牡3,57.0,横山琉,2:01.4,3/4,11,34.1,36.7,栗東長谷川,450(-16)
12,2,4,キトゥンズラスター,牝3,55.0,小沢,2:02.3,5,10,29.4,37.5,栗東橋口,410(-2)
13,8,15,コーディアリティ,牡3,54.0,▲田山,2:02.5,1,14,67.8,37.4,栗東牧浦,536(0)
14,7,14,サイレントワルツ,牝3,52.0,▲和田陽,2:02.5,ハナ,16,327.6,37.2,栗東小椋,398(+2)
15,3,5,ミズノミヤコ,牝3,51.0,★河原田,2:02.6,クビ,5,8.8,38.8,美浦青木,416(-4)
16,2,3,ソルプレーザ,牡3,57.0,黛,2:02.7,3/4,15,320.5,37.6,美浦菊川,468(-10)
