馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ディニトーソ,牡4,長岡,栗東・辻野,先行,60.1,11,10,,37.2,464(0),中山,50,中6週,Y,,3,ディーマジェスティ,フレンチデピュティ,
2,2,ロサンゼルス B,牡5,北村友,美浦・伊藤圭,先行,18.7,7,4,,36.0,520(-4),中山,8,連闘,Y,,3,カリフォルニアクローム,キングヘイロー,
3,3,ゼットエール,牡4,松本,栗東・吉田,先行,2.3,1,3,,36.4,506(-4),京都,104,中14週,Y,,3,サンダースノー,バゴ,
4,4,ジョディーズマロン,牡8,秋山稔,栗東・北出,追込,18.2,6,6,,35.8,470(0),阪神,14,中1週,Y,,3,ディスクリートキャット,サムライハート,
5,4,ショウナンハクウン B,牡6,吉村,美浦・大竹,差し,59.1,10,9,,36.0,500(-8),中山,8,連闘,Y,,3,ダイワメジャー,Danehill Dancer,
6,5,ゴールドサーベル,牡5,酒井,栗東・大久保,追込,51.0,9,10,,33.6,474(0),小倉,78,中10週,Y,,3,レッドファルクス,ステイゴールド,
7,5,ロードマイライフ B,牡5,田口,栗東・佐藤悠,差し,82.9,12,14,,37.4,506(-6),中山,22,中2週,Y,,3,ロードカナロア,ジャングルポケット,
8,6,ナスノカンゲツ B,牡6,国分恭,美浦・武井,差し,137.4,13,10,,36.5,518(0),中山,8,連闘,Y,,3,ダイワメジャー,Hard Spun,
9,6,ライジン,牡6,池添,栗東・池添,差し,21.8,8,7,,36.2,490(-4),阪神,43,中5週,Y,,3,Speightstown,Kitten's Joy,
10,7,アンズアメ,牝4,鮫島駿,栗東・高柳大,差し,4.4,2,3,,36.8,478(+6),中山,50,中6週,Y,,3,ドレフォン,エンパイアメーカー,
11,7,タカネノハナコサン B,牝6,菱田,栗東・緒方,,6.9,4,11,,38.1,490(0),阪神,43,中5週,Y,,3,カレンブラックヒル,デザートキング,
12,8,ボディブロー,牡5,,栗東・森秀,先行,14.1,5,1,4歳以上2勝クラス,35.8,532(-4),阪神,49,中6週,Y,,2,City of Light,Bernstein,
13,8,ノボリショウリュウ,牡5,浜中,栗東・石橋,差し,6.2,3,4,,35.9,472(+2),中京,29,中3週,Y,,3,リアルスティール,クロフネ,
