馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ブルーデイジー,牝7,的場,美浦・的場,追込,347.0,16,11,3歳以上1勝クラス,37.3,448(-12),新潟,189,中26週,Y,Y,3,ディスクリートキャット,スペシャルウィーク,
2,1,ケイアイマウンガ,牡4,藤懸,栗東・宮本,,3.9,2,2,4歳以上1勝クラス,37.1,478(+2),福島,15,中1週,Y,,3,マクフィ,Afleet Alex,
3,2,ナンヨークリスタル,セ6,丸山,栗東・松永幹,差し,11.0,6,4,4歳以上1勝クラス,37.3,498(-2),福島,15,中1週,Y,,3,ロードカナロア,フジキセキ,
4,2,ダイヤモンド,牡4,富田,栗東・清水久,先行,5.7,3,2,4歳以上1勝クラス,36.6,526(-2),阪神,22,中2週,Y,,3,サトノダイヤモンド,サクラバクシンオー,
5,3,レイアポポ,牝4,菊沢,美浦・青木,先行,8.7,5,5,4歳以上1勝クラス,36.9,482(-6),福島,7,連闘,Y,,3,シニスターミニスター,ワイルドラッシュ,
6,3,オンリーラヴ,牝6,和田陽,栗東・森田,差し,215.8,13,12,4歳以上1勝クラス,35.2,430(-2),小倉,84,中11週,Y,,2,ブラックタイド,スウェプトオーヴァーボード,
7,4,カツノテンス,牡6,遠藤,美浦・伊藤伸,先行,36.0,9,4,4歳以上1勝クラス,37.1,446(-10),福島,7,連闘,Y,,3,シルバーステート,サウスヴィグラス,
8,4,タッカーバレット,牡5,小林美,美浦・田島,差し,11.9,7,10,4歳以上1勝クラス,37.9,486(-20),中山,56,中7週,Y,,1,ビッグアーサー,ファルブラヴ,
9,5,シャインミラカナ,牡4,亀田,栗東・北出,差し,133.3,11,9,3歳以上1勝クラス,37.9,474(-6),福島,162,中22週,Y,,3,アルアイン,ワイルドラッシュ,
10,5,エコロカディス,セ4,杉原,美浦・森一,先行,7.6,4,4,4歳以上1勝クラス,36.7,450(0),中山,21,中2週,Y,,3,Global Campaign,Ghostzapper,
11,6,アイランドピーク,牡5,上里,美浦・加藤和,差し,303.0,15,16,4歳以上1勝クラス,38.6,488(-4),中山,28,中3週,Y,,3,ユアーズトゥルーリ,ネオユニヴァース,
12,6,ノーブルミステリー,牝6,舟山,美浦・菊川,差し,59.2,10,5,4歳以上1勝クラス,36.8,456(-2),福島,15,中1週,Y,,3,ディーマジェスティ,Mt. Livermore,
13,7,レジェンダリーデイ,セ6,菱田,栗東・森田,先行,12.2,8,4,JRA交流,40.2,546(+1),園田,38,中4週,,,2,ダノンレジェンド,Cape Cross,
14,7,チャージドアップ,牝5,石神道,美浦・和田郎,逃げ,141.6,12,16,3歳以上1勝クラス,36.2,452(-12),福島,162,中22週,Y,,2,キズナ,アドマイヤムーン,
15,8,ピクラリーダ,牝5,鷲頭,美浦・清水英,先行,252.7,14,16,4歳以上1勝クラス,40.7,454(-6),中山,49,中6週,Y,,3,ブラックタイド,アフリート,
16,8,ヨドノゴールド,牡8,,栗東・橋田,先行,3.9,1,3,4歳以上1勝クラス,36.1,478(0),小倉,91,中12週,Y,,3,サウスヴィグラス,ステイゴールド,
