着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,5,クアトロジャック,牡5,58.0,吉村,1:11.5,,8,27.0,35.5,栗東庄野,484(+4)
2,6,8,タイセイディアマン,牡4,58.0,岩田望,1:11.6,クビ,2,3.4,34.9,栗東大橋,466(+2)
3,7,10,セルヴァンス,セ4,58.0,長岡,1:11.8,1.1/4,6,19.6,35.6,栗東小椋,436(-2)
4,6,7,ヒラボクカレラ,牡4,58.0,浜中,1:11.8,クビ,7,22.4,35.6,栗東奥村豊,458(0)
5,2,2,ヴリトラハン,牡4,58.0,川田,1:11.8,ハナ,1,3.2,34.9,栗東千田,480(-8)
6,1,1,フェデラー,牡4,58.0,太宰,1:12.0,1.1/4,5,7.1,34.6,栗東石橋,508(0)
7,8,12,ジーベック,牡5,58.0,鮫島駿,1:12.0,クビ,11,75.0,35.1,栗東矢作,462(+4)
8,8,11,セールヴォラン,牡5,58.0,幸,1:12.2,1,3,5.9,35.8,栗東北出,460(-2)
9,7,9,ゴイゴイスー,牡8,58.0,川須,1:12.3,3/4,10,66.2,35.2,栗東中尾,512(-2)
10,3,3,メイショウゴールド,牡4,58.0,団野,1:12.3,アタマ,4,6.6,35.4,栗東荒川,454(+2)
11,5,6,ハピアーザンエバー,牡5,58.0,藤懸,1:12.4,1/2,12,200.3,35.2,栗東羽月,462(-2)
12,4,4,ペプチドクレマチス,牝4,56.0,酒井,1:13.0,3.1/2,9,37.3,37.1,栗東畑端,446(0)
