馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ダノンブランニュー,牡4,松本,栗東・福永,差し,8.7,5,5,4歳以上1勝クラス,34.6,498(-2),阪神,62,中8週,Y,,3,ミッキーアイル,Smart Strike,,
2,2,ブルバンビーナ,牝4,河原田,美浦・尾形,差し,64.9,8,7,4歳以上1勝クラス,35.8,406(-2),小倉,70,中9週,Y,,3,キズナ,タイキシャトル,,
3,3,グレゴリオ,セ4,杉原,美浦・木村,差し,4.6,2,3,,34.8,492(-12),新潟,188,中26週,Y,Y,3,エピファネイア,アドマイヤムーン,,
4,4,ニシノヒミチュ,牝4,佐藤,美浦・伊藤大,先行,148.3,12,10,4歳以上1勝クラス,34.9,442(-4),福島,6,連闘,Y,,3,ビッグアーサー,スクリーンヒーロー,,
5,4,レッドシュテルン,セ4,中井,栗東・高橋一,,12.9,6,3,,36.3,496(-2),福島,21,中2週,Y,,3,Saxon Warrior,Champs Elysees,,
6,5,オドラニャソンソン,牡4,和田陽,栗東・森田,差し,126.5,11,8,4歳以上1勝クラス,33.7,468(-2),中京,42,中5週,Y,,2,ディープブリランテ,フジキセキ,,
7,5,ウインイルネージュ,牝4,石神道,美浦・和田郎,差し,88.8,9,8,,36.6,424(+4),小倉,84,中11週,Y,,3,ゴールドシップ,ダノンシャンティ,,
8,6,ロケベンドラ,牝4,丹内,栗東・西園翔,差し,2.1,1,2,4歳以上1勝クラス,34.2,444(-4),阪神,70,中9週,Y,,3,イスラボニータ,Smart Strike,,
9,6,シュードタキライト,牡4,小林美,美浦・秋本,差し,55.5,7,11,4歳以上1勝クラス,36.3,494(-6),福島,13,中1週,Y,,3,ウインブライト,タイキシャトル,,
10,7,メイショウビストロ,牡4,田山,栗東・岡田,差し,7.9,4,3,4歳以上1勝クラス,33.5,444(+6),中京,42,中5週,Y,,3,カリフォルニアクローム,ディープブリランテ,,
11,7,アットザラヴアスク,牝4,富田,栗東・野中,差し,169.9,13,15,3歳未勝利,44.9,456(+14),阪神,231,中32週,Y,Y,1,オルフェーヴル,デヒア,,
12,8,オーバースタンド,牡4,小崎,栗東・小崎,差し,5.7,3,4,4歳以上1勝クラス,33.5,442(-12),中京,34,中4週,Y,,3,モズアスコット,ディープインパクト,,
13,8,スピリットライズ,セ4,亀田,栗東・高柳大,先行,105.7,10,9,4歳以上1勝クラス,34.6,438(+2),福島,20,中2週,Y,,3,キンシャサノキセキ,High Yield,,
