着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,タガノアラリア,牡3,57.0,鮫島駿,1:19.7,,1,1.8,33.2,栗東西園翔,452(-4)
2,6,6,フォーゲル,牡3,57.0,池添,1:19.8,1/2,4,7.3,33.1,栗東斉藤崇,524(+4)
3,5,5,スペルーチェ,牡3,57.0,Mデム,1:20.1,1.1/2,2,3.8,33.3,美浦宮田,450(-6)
4,8,10,アスミル,牡3,57.0,太宰,1:20.2,1,5,18.2,33.7,栗東本田,492(+4)
5,7,8,ハンデンドレイク,牡3,58.0,酒井,1:20.3,3/4,9,95.2,33.6,地方荒山勝,486(-11)
6,1,1,ケールハイム,牝3,55.0,武豊,1:20.8,3,3,6.7,33.9,栗東福永,442(+4)
7,7,9,アルスマグナ,牡3,57.0,岩田康,1:20.9,3/4,8,76.4,34.3,美浦池上,452(-2)
8,6,7,ストームサンダー,牡3,57.0,幸,1:21.0,1/2,6,27.1,34.1,栗東安達,468(+4)
9,2,2,ヨサリ,牡3,57.0,渡辺竜,1:21.1,アタマ,10,134.4,33.9,地方笹野博,466(-1)
10,3,3,トラスコンガーデン,牝3,55.0,長岡,1:21.3,1.1/2,7,36.5,34.3,美浦竹内,442(-4)
11,8,11,ギガントマキア,牡3,57.0,城戸,1:21.6,1.3/4,11,308.2,34.0,美浦室井,488(-10)
