馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ジーベック,牡5,岩田康,栗東・矢作,差し,42.2,9,7,,35.1,464(+2),京都,8,連闘,Y,,3,Gun Runner,More Than Ready,
2,2,メイショウタムシバ,牝5,武豊,栗東・飯田,先行,7.9,4,12,,37.0,448(+10),阪神,22,中2週,Y,,3,ダノンレジェンド,スペシャルウィーク,
3,3,ロードオルデン,牡7,酒井,栗東・辻野,差し,38.2,8,7,4歳以上2勝クラス,35.2,498(+10),阪神,36,中4週,Y,,3,リオンディーズ,ファルブラヴ,
4,3,グリプトグラフィ,牡4,角田和,栗東・井上,逃げ,54.3,10,8,4歳以上1勝クラス,40.0,552(-8),阪神,36,中4週,Y,,3,サトノダイヤモンド,オルフェーヴル,
5,4,ハリウッドブルース,牡5,藤懸,栗東・浜田,差し,58.2,11,8,4歳以上2勝クラス,35.9,470(-4),東京,84,中11週,Y,,3,カリフォルニアクローム,サウスヴィグラス,
6,4,ホウオウフロイト,牡5,田山,美浦・加藤和,追込,67.6,12,11,4歳以上2勝クラス,35.8,446(0),中山,57,中7週,Y,,3,エイシンフラッシュ,ストラヴィンスキー,
7,5,ヤマメキング,牡4,川須,美浦・田島,差し,99.7,14,14,4歳以上2勝クラス,38.9,484(-20),中山,105,中14週,Y,,3,ドレフォン,マンハッタンカフェ,
8,5,ランスオブセヘル,牝5,渡辺竜,栗東・奥村豊,先行,4.2,3,3,4歳以上2勝クラス,37.0,488(-4),阪神,70,中9週,Y,,3,サトノアラジン,Alhaarth,
9,6,クォーツァイト,牝5,,栗東・橋田,,14.5,6,6,,37.7,470(-10),東京,77,中10週,Y,,3,ダイワメジャー,Harlan's Holiday,
10,6,レッドダンルース B,牡6,Ｍデム,栗東・福永,先行,11.2,5,9,4歳以上2勝クラス,37.0,464(-4),東京,8,連闘,Y,,3,リアルスティール,Galileo,
11,7,ユウトザレン,牡4,吉村,栗東・千田,先行,4.1,2,8,,36.1,490(-4),阪神,22,中2週,Y,,3,ゴールドドリーム,ストーミングホーム,
12,7,フィリップ B,牡5,丹内,美浦・岩戸,先行,22.2,7,13,4歳以上2勝クラス,38.3,498(-6),東京,14,中1週,Y,,3,ロージズインメイ,エンパイアメーカー,
13,8,ラピダリア,牝5,池添,栗東・吉田,差し,71.6,13,12,4歳以上2勝クラス,37.2,470(+2),東京,14,中1週,Y,,3,マジェスティックウォリアー,ヴァーミリアン,
14,8,ヴィリアリート B,牝4,鮫島駿,栗東・西村,先行,3.0,1,16,,41.1,540(+10),小倉,99,中13週,Y,,3,ナダル,ゴールドアリュール,
